PERIOD,YEAR,STATS_VALUE
Annual,1963,14.9
Annual,1964,14.9
Annual,1965,14.4
Annual,1966,14.7
Annual,1967,14.9
Annual,1968,14.6
Annual,1969,14.5
Annual,1970,15.5
Annual,1971,15.7
Annual,1972,15.1
Annual,1973,15.5
Annual,1974,15.7
Annual,1975,15.3
Annual,1976,14.6
Annual,1977,14.5
Annual,1978,15.3
Annual,1979,15.4
Annual,1980,14.8
Annual,1981,15.5
Annual,1982,14.7
Annual,1983,14.8
Annual,1984,15.2
Annual,1985,15.2
Annual,1986,15.2
Annual,1987,15.2
Annual,1988,15.6
Annual,1989,15.8
Annual,1990,16.2
Annual,1991,15.3
Annual,1992,14.9
Annual,1995,15.6
Annual,1996,15.5
Annual,1997,15.1
Annual,1998,16.6
Annual,1999,16
Annual,2000,15.8
Annual,2001,15.8
Annual,2002,15.4
Annual,2003,15.5
Annual,2004,14.9
Annual,2005,16.1
Annual,2006,15.3
Annual,2007,15.6
Annual,2008,15.7
Annual,2009,15.1
Annual,2010,16
Annual,2011,15.9
Annual,2012,15.4
Annual,2013,16.1
Annual,2014,15.6
Annual,2015,15.7
Annual,2016,16.3
Annual,2017,16.1
Annual,2018,16.1
Annual,2019,16.1
Annual,2020,16.1
Annual,2021,16.5
Annual,2022,16.9
Annual,2023,16.1
Annual,2024,16.1
