PERIOD,YEAR,STATS_VALUE
Annual,1963,18.8
Annual,1964,18.7
Annual,1965,18.3
Annual,1966,18.3
Annual,1967,18.6
Annual,1968,18.1
Annual,1969,18
Annual,1970,19.3
Annual,1971,19.4
Annual,1972,18.5
Annual,1973,18.9
Annual,1974,19.4
Annual,1975,18.9
Annual,1976,18.1
Annual,1977,17.9
Annual,1978,18.9
Annual,1979,18.8
Annual,1980,18.1
Annual,1981,19
Annual,1982,18.3
Annual,1983,18.1
Annual,1984,18.8
Annual,1985,18.8
Annual,1986,18.8
Annual,1987,18.6
Annual,1988,19
Annual,1989,19.3
Annual,1990,19.5
Annual,1991,18.6
Annual,1992,18.2
Annual,1995,19.1
Annual,1996,19.1
Annual,1997,18.6
Annual,1998,20.1
Annual,1999,19.8
Annual,2000,19.2
Annual,2001,19.4
Annual,2002,18.9
Annual,2003,19.1
Annual,2004,18.4
Annual,2005,19.7
Annual,2006,18.9
Annual,2007,19.2
Annual,2008,19.3
Annual,2009,18.7
Annual,2010,19.6
Annual,2011,19.3
Annual,2012,19
Annual,2013,19.8
Annual,2014,19.3
Annual,2015,19.3
Annual,2016,19.8
Annual,2017,19.7
Annual,2018,19.7
Annual,2019,19.8
Annual,2020,20
Annual,2021,20.2
Annual,2022,20.7
Annual,2023,19.6
Annual,2024,19.8
