PERIOD,YEAR,STATS_VALUE
Annual,1963,11.1
Annual,1964,11.1
Annual,1965,10.5
Annual,1966,11.1
Annual,1967,11.3
Annual,1968,11.2
Annual,1969,11
Annual,1970,11.8
Annual,1971,12
Annual,1972,11.7
Annual,1973,12.1
Annual,1974,12
Annual,1975,11.6
Annual,1976,11
Annual,1977,11.2
Annual,1978,11.7
Annual,1979,12
Annual,1980,11.5
Annual,1981,12.1
Annual,1982,11
Annual,1983,11.5
Annual,1984,11.6
Annual,1985,11.6
Annual,1986,11.7
Annual,1987,11.8
Annual,1988,12.3
Annual,1989,12.4
Annual,1990,12.8
Annual,1991,12
Annual,1992,11.5
Annual,1995,12.2
Annual,1996,11.9
Annual,1997,11.6
Annual,1998,13.1
Annual,1999,12.3
Annual,2000,12.3
Annual,2001,12.2
Annual,2002,12
Annual,2003,11.9
Annual,2004,11.4
Annual,2005,12.4
Annual,2006,11.7
Annual,2007,12.1
Annual,2008,12.2
Annual,2009,11.6
Annual,2010,12.4
Annual,2011,12.4
Annual,2012,11.8
Annual,2013,12.4
Annual,2014,12
Annual,2015,12.1
Annual,2016,12.8
Annual,2017,12.6
Annual,2018,12.5
Annual,2019,12.5
Annual,2020,12.3
Annual,2021,12.7
Annual,2022,13.1
Annual,2023,12.7
Annual,2024,12.4
