YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1962,,,,,,15.3,14.7,15,16.1,18.7,19.7,21.3,
1963,23.4,24.7,21.9,19.1,17.1,14.9,14.6,14.3,16.8,18.4,19.1,21.1,18.8
1964,22.2,24.6,21.9,20.1,16.4,15,14.7,14.6,15.8,17.4,19.4,22.3,18.7
1965,24.6,21.7,21.5,20.2,16.9,14.4,13.1,13.9,16.6,16.9,18.8,21.2,18.3
1966,22.4,24.5,23,19.9,16,14.6,13.4,13.7,15.7,17.6,18.8,20.2,18.3
1967,21.8,22.5,22.5,20.1,17,13.7,14.2,15.9,15.7,18.9,19.6,21.3,18.6
1968,22,22.8,24.6,18.9,17.1,14.7,13.6,14.4,14.8,16.3,17.8,20.5,18.1
1969,21.9,22.2,20.9,18.4,16.6,13.5,12.5,14.2,16.6,16.3,20.5,22.9,18
1970,24.9,24.4,23.5,20.4,16.8,15.2,14.7,15,16.3,17.7,20.2,22.7,19.3
1971,25,24.5,22,20.4,17.8,16.7,14.2,15.8,16.2,17.6,20.2,22.1,19.4
1972,22.2,22.8,22.9,19.8,16.9,13.2,14.4,14,16.1,17.5,21.6,20.2,18.5
1973,23.1,23.7,22.7,19.2,17,15.3,13.7,14.9,16.2,18.1,20.1,22.6,18.9
1974,23.5,26.1,22,20.5,17.6,15.1,15.1,14.9,16.5,18,21,23.3,19.4
1975,24.2,24.4,23.2,20.1,18.3,14.4,13.5,15.5,16,17.8,19,20.2,18.9
1976,22.6,20.9,23,19.8,16.1,13.9,13.7,15.4,15.6,17.2,18.3,20.9,18.1
1977,21.8,23.9,23.2,19.4,15.3,14.6,14.3,14.7,13.8,16.2,17.7,20.3,17.9
1978,23.5,25,22.9,21.5,17,14.4,14,14.7,16.1,16.6,19.4,21.4,18.9
1979,23.8,22.5,22.9,19.8,17.1,15.7,14.2,14.8,16,17.2,19.8,21.5,18.8
1980,23.2,22.6,20.7,19.1,16.6,14.4,13.7,13.9,15.9,18.2,18.3,20.6,18.1
1981,24.2,23.8,24.4,21.1,17.3,15.9,14.1,14,14.8,16.8,19,22.4,19
1982,23.9,24.5,22.2,18.6,16.8,13.9,13.3,14.2,15.8,16,19.8,20.7,18.3
1983,21.6,22,22.1,19.5,16.2,14.3,12.9,14.6,16.6,17.9,19.4,20.2,18.1
1984,21.6,23.3,22.6,19.5,16.6,14.8,14.9,15.4,16,17.4,20.8,23.1,18.8
1985,24,23.3,21.9,19.4,16.5,16.1,14.8,14.5,16.5,17.2,19.4,22.5,18.8
1986,24.3,23.4,22.4,20.2,17.8,14.9,13.4,14.2,15.4,18.1,19.7,21.7,18.8
1987,24.2,22.5,21.2,19.1,16.9,14.9,14.1,15.4,15.7,18,19.8,21.6,18.6
1988,22.6,23.9,21.4,19.5,17.5,15.5,14.5,15.2,16.8,18.1,19.9,22.5,19
1989,23.6,23.6,23.2,20.3,17.2,15.6,14.1,15.2,17.9,18.9,20.5,21.7,19.3
1990,23.2,26,23.6,21,17.9,15.1,14.8,15.3,15.8,18.9,20.1,22.1,19.5
1991,23.4,23.9,22.3,19.2,16.6,14.6,14,15.4,16.7,17.6,18.3,21.3,18.6
1992,23.4,23.9,20.9,17.7,15.6,14.5,14.7,14.2,15.3,17,20,21.7,18.2
1993,22.8,22.7,21.5,19.2,17.6,15.8,,,,,,,
1994,,,,,,,13.9,14.5,15.4,16.7,19.1,22.4,
1995,23.7,24.5,22.7,21.6,17.9,14.9,13.8,14.3,16.6,17.2,19.3,22.3,19.1
1996,24.9,25,22.1,20.5,16.9,14.4,14.3,14.7,17.5,18.2,19.6,20.9,19.1
1997,22.3,24.4,22.1,19.4,18.1,14.5,13.9,14.4,15.6,17.2,19,22.4,18.6
1998,24.3,26.7,23.5,20.8,18,16.5,16.1,15.4,16.9,18.8,20.8,22.8,20.1
1999,26.1,25.3,24,20.6,18.2,16.4,15,14.9,16.7,18.6,20.2,20.9,19.8
2000,23.4,23.4,22.6,20.2,18,15.6,15.8,15.5,16.7,18,18.5,23,19.2
2001,22.9,24.7,23.3,20.1,17.8,15.4,13.8,15.6,16.8,19.5,20,22.3,19.4
2002,23.5,23.8,22.9,19.8,17.3,16.4,14.6,14.9,16.7,17.1,18.4,21.5,18.9
2003,23.1,23.4,22.6,20.2,18.2,16.5,13.8,15.2,16.7,17.5,19.2,22.2,19.1
2004,24.5,22.5,20.8,19.2,17.8,16.1,13.9,13.8,15.9,17.3,20,19.4,18.4
2005,23.2,24.9,23.9,20.7,18.6,15.1,15.3,16,17.4,18.6,19.9,23,19.7
2006,24.4,24.5,22.8,20.9,17.4,14,14.4,15,17.2,17.2,19.5,19,18.9
2007,23,24,23.6,19.8,18.5,15.4,14.9,15.3,16.8,17.7,19.3,22.3,19.2
2008,25.2,24.4,23.6,20.5,16.5,15.6,14.7,14.5,16.6,17.4,19.8,22.2,19.3
2009,23.5,24.6,21.8,20.1,15.8,13.6,14,16,17.1,16.7,18.9,21.9,18.7
2010,23.8,25.5,23.2,20.9,17.8,15.4,14.2,15.4,16.8,17.9,20.4,23.6,19.6
2011,24.3,24.4,22.9,20.1,18.8,16.3,14.9,14.5,16.2,18.6,19.2,21.7,19.3
2012,22.3,23.5,21.4,20.9,17.2,15.3,14.9,16.5,16.6,17.8,18.9,23,19
2013,24.5,24.6,24.4,21.2,17.6,15.1,15,16,16.9,18.6,21.6,22.3,19.8
2014,22.9,24.6,22.9,21.7,18,16.8,14.4,15,17,18,19,21.8,19.3
2015,25.4,24.3,24.3,20.8,17.3,15.5,14.1,15.1,16.1,17.5,20,21.8,19.3
2016,24.6,25.8,23.7,21.1,19.8,16.3,15.1,15.1,16.9,18.4,19.6,21.8,19.8
2017,22.9,24.6,23,21.2,17.4,15.7,14.6,16.4,16.9,18.1,20.9,24.9,19.7
2018,26.1,24.3,23.9,20.7,18.1,15.1,15.3,15.7,16.6,18.2,20.2,22.3,19.7
2019,24.4,25.2,24.5,20,18.8,15.4,15.8,15.1,16.7,17.7,20.9,23,19.8
2020,23.7,26,23.3,20.8,17.9,16.7,15.3,16,17,19.7,21.1,22.5,20
2021,24.7,25.1,23.6,20.9,18.1,16.8,15.4,15.8,16.9,18.7,22.1,24.3,20.2
2022,26.2,26.4,24.8,21.9,19.3,16.5,16.1,16.4,17.4,18.9,21.4,23.4,20.7
2023,23.5,23.5,22.3,21.3,18.7,16.1,15.2,14.9,17.6,18.7,20.2,22.9,19.6
2024,25.7,24.9,21.7,20.6,17.1,16.7,15.3,16.2,17.1,19.1,20.4,23.5,19.8
2025,23.9,25.9,24,22.1,,,,,,,,,
