YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1962,,,,,,9.7,7.1,8.1,9.4,12.3,12.7,14.3,
1963,15.3,17.1,14.4,11.2,9.7,7.3,7.1,6.6,8.4,11.1,10.9,13.8,11.1
1964,13.9,14.9,14.4,12.2,9,7.8,8.8,7.7,8.9,9.9,11.6,13.8,11.1
1965,15.2,15.4,13.3,11.4,9.3,6.7,4.5,6.9,8.8,9.4,11.3,13.9,10.5
1966,16.1,17.8,15.4,12.4,8.6,6.6,7.1,5.7,8.6,9.7,12.1,13.6,11.1
1967,14.5,14.5,15,12.4,10,5.7,6.2,9.1,8.7,11.5,13.1,14.4,11.3
1968,15.1,14.8,16.2,13,9.7,8.5,6.6,8,7.9,9.8,11.2,13.2,11.2
1969,14.5,14.9,13.3,11.9,10.2,7.6,4.8,7.4,9.8,9.7,12.5,15.6,11
1970,16.5,14.8,15.6,13.5,8.8,7.4,7.1,8.1,10,12.2,12.5,14.8,11.8
1971,17.2,17.2,14.4,12.9,10.1,10,6.1,8.7,9.6,11,12,14.7,12
1972,15.4,15,16,13.4,10.1,6.8,7.3,6.3,10,11.8,14.4,13.9,11.7
1973,15.9,15.1,15.5,13.1,11.4,8.7,6.4,8.6,10.3,11.2,13.9,14.6,12.1
1974,15.1,18.3,13.8,13.4,10,8.1,8.5,8.2,9.7,10.7,13.2,15,12
1975,16.6,16.4,15.6,12.6,11.7,6.1,6.2,7.7,9.7,11.6,11.9,13.5,11.6
1976,16.2,13.1,14.3,12.4,8.8,6.5,6.5,8.9,8.9,10.7,11.7,14.2,11
1977,15.3,15.8,15.5,13.2,7.9,8.3,7.7,7.6,7.5,10.8,11.5,12.9,11.2
1978,15.8,17,15.3,14.2,9.5,8.1,7,7.5,9.1,9.3,12.7,14.4,11.7
1979,16.6,16.1,16.3,12.3,9.9,9.3,7.2,8.3,9.7,11.4,12.8,14.1,12
1980,15.6,16.5,13.9,10.9,10.1,8.4,7.1,7,10.4,11.5,12.5,14.2,11.5
1981,17.1,17,16.7,13,9.6,9,6.6,7.6,9.8,10.5,12.7,15.7,12.1
1982,16,16.6,13.5,10.8,10.1,5.9,5.7,7.7,8.7,9.9,13.6,13.6,11
1983,14.9,15.2,15.7,12.8,9.9,8.6,4.7,7.7,10.3,11.9,12.1,13.8,11.5
1984,14,15.2,15.4,11.5,9.5,8.7,7.5,9.3,8.7,10.2,13.6,15.7,11.6
1985,16.5,15.4,14.4,11.8,8.2,8.8,9.2,7.3,9.9,9.8,12.4,15,11.6
1986,17.2,16.5,14.1,13,10.1,7.9,6.2,7.2,9.7,11.9,12.8,13.5,11.7
1987,16.4,15.1,13.7,12.7,9.6,8.5,8.1,8.5,10.1,11.6,13,14.8,11.8
1988,15.2,17.1,14.3,11.5,11.1,8.4,8.9,9.4,11,11.9,13.9,15.2,12.3
1989,16.9,16.2,15.7,13.3,10.7,8.6,6.1,8.4,10.6,12.9,14.1,14.8,12.4
1990,17,18.1,17,14.1,11.4,7.6,8.9,9.1,8.5,12.5,13.8,15.9,12.8
1991,16.2,16.8,14.2,12.8,10.2,8.9,6.8,9.4,10.8,11.4,12.1,14.7,12
1992,16.2,16.6,13.7,10.1,9.5,7.2,8.4,8.4,8.7,10.2,13.9,15.2,11.5
1993,16.2,15.2,14.3,12.2,,,,,,,,,
1994,,,,,,,7.2,7.5,9.1,10.4,12.3,15,
1995,15.8,16.6,15.2,14.8,10.9,9.2,7.9,7.6,9,11.3,11.9,15.8,12.2
1996,16.2,17.3,13.5,13.9,9.8,7.1,7.9,8.6,10.2,11.4,12.2,14.2,11.9
1997,14.9,16.4,15.2,12.1,11.5,7.5,6.4,7.2,9.2,11,13.4,14.5,11.6
1998,16,18.3,16.8,13.8,11.6,10.1,10.6,8.8,10.5,12.7,13.1,15.2,13.1
1999,18,16.6,16.8,13.5,11.1,7.8,7.6,7.2,9.3,11.7,13.8,14.2,12.3
2000,15.5,16.4,14.8,13.5,11.8,9.2,10.2,7.9,9.4,11.5,11.6,15.7,12.3
2001,15.2,17.4,14.6,13,12.3,7.1,6.1,8.3,9.9,13,13.2,16.5,12.2
2002,15.5,15.5,15.7,11.8,11.9,11.3,7.7,8.3,9.8,9.8,11.6,14.7,12
2003,14.9,15.5,15.6,12.6,10.8,9.9,6.2,8.1,10.5,10.1,12.6,15.8,11.9
2004,16.6,16.2,13.1,11.5,11,9.4,6.9,7.2,8.8,11.5,12.3,12.7,11.4
2005,15.4,17.6,15.7,12.2,11.7,8.9,9.2,7.9,10.3,11.4,12.7,16.2,12.4
2006,16.2,16.5,14.5,14.1,11,6.3,6.5,8.1,10.4,11.4,13.1,12.7,11.7
2007,16,15.5,15.8,12,11.7,8.5,8.1,9,9.8,10.9,12.2,15.3,12.1
2008,17.2,16.4,15.7,13.5,8.9,9.2,8,8.9,9.6,11.4,12.9,14.5,12.2
2009,15.8,17.3,14.5,12.7,8.5,6.4,6.8,9.8,9.7,10.2,13.2,14.7,11.6
2010,15.9,17.8,15,13,10.8,8.9,7.1,9.3,10.4,10.5,13.1,17.1,12.4
2011,17,17.9,14.6,12.8,12,10.5,8,7,8.4,12,13.1,15.1,12.4
