PERIOD,YEAR,STATS_VALUE
June,1962,15.3
July,1962,14.7
August,1962,15
September,1962,16.1
October,1962,18.7
November,1962,19.7
December,1962,21.3
January,1963,23.4
February,1963,24.7
March,1963,21.9
April,1963,19.1
May,1963,17.1
June,1963,14.9
July,1963,14.6
August,1963,14.3
September,1963,16.8
October,1963,18.4
November,1963,19.1
December,1963,21.1
January,1964,22.2
February,1964,24.6
March,1964,21.9
April,1964,20.1
May,1964,16.4
June,1964,15
July,1964,14.7
August,1964,14.6
September,1964,15.8
October,1964,17.4
November,1964,19.4
December,1964,22.3
January,1965,24.6
February,1965,21.7
March,1965,21.5
April,1965,20.2
May,1965,16.9
June,1965,14.4
July,1965,13.1
August,1965,13.9
September,1965,16.6
October,1965,16.9
November,1965,18.8
December,1965,21.2
January,1966,22.4
February,1966,24.5
March,1966,23
April,1966,19.9
May,1966,16
June,1966,14.6
July,1966,13.4
August,1966,13.7
September,1966,15.7
October,1966,17.6
November,1966,18.8
December,1966,20.2
January,1967,21.8
February,1967,22.5
March,1967,22.5
April,1967,20.1
May,1967,17
June,1967,13.7
July,1967,14.2
August,1967,15.9
September,1967,15.7
October,1967,18.9
November,1967,19.6
December,1967,21.3
January,1968,22
February,1968,22.8
March,1968,24.6
April,1968,18.9
May,1968,17.1
June,1968,14.7
July,1968,13.6
August,1968,14.4
September,1968,14.8
October,1968,16.3
November,1968,17.8
December,1968,20.5
January,1969,21.9
February,1969,22.2
March,1969,20.9
April,1969,18.4
May,1969,16.6
June,1969,13.5
July,1969,12.5
August,1969,14.2
September,1969,16.6
October,1969,16.3
November,1969,20.5
December,1969,22.9
January,1970,24.9
February,1970,24.4
March,1970,23.5
April,1970,20.4
May,1970,16.8
June,1970,15.2
July,1970,14.7
August,1970,15
September,1970,16.3
October,1970,17.7
November,1970,20.2
December,1970,22.7
January,1971,25
February,1971,24.5
March,1971,22
April,1971,20.4
May,1971,17.8
June,1971,16.7
July,1971,14.2
August,1971,15.8
September,1971,16.2
October,1971,17.6
November,1971,20.2
December,1971,22.1
January,1972,22.2
February,1972,22.8
March,1972,22.9
April,1972,19.8
May,1972,16.9
June,1972,13.2
July,1972,14.4
August,1972,14
September,1972,16.1
October,1972,17.5
November,1972,21.6
December,1972,20.2
January,1973,23.1
February,1973,23.7
March,1973,22.7
April,1973,19.2
May,1973,17
June,1973,15.3
July,1973,13.7
August,1973,14.9
September,1973,16.2
October,1973,18.1
November,1973,20.1
December,1973,22.6
January,1974,23.5
February,1974,26.1
March,1974,22
April,1974,20.5
May,1974,17.6
June,1974,15.1
July,1974,15.1
August,1974,14.9
September,1974,16.5
October,1974,18
November,1974,21
December,1974,23.3
January,1975,24.2
February,1975,24.4
March,1975,23.2
April,1975,20.1
May,1975,18.3
June,1975,14.4
July,1975,13.5
August,1975,15.5
September,1975,16
October,1975,17.8
November,1975,19
December,1975,20.2
January,1976,22.6
February,1976,20.9
March,1976,23
April,1976,19.8
May,1976,16.1
June,1976,13.9
July,1976,13.7
August,1976,15.4
September,1976,15.6
October,1976,17.2
November,1976,18.3
December,1976,20.9
January,1977,21.8
February,1977,23.9
March,1977,23.2
April,1977,19.4
May,1977,15.3
June,1977,14.6
July,1977,14.3
August,1977,14.7
September,1977,13.8
October,1977,16.2
November,1977,17.7
December,1977,20.3
January,1978,23.5
February,1978,25
March,1978,22.9
April,1978,21.5
May,1978,17
June,1978,14.4
July,1978,14
August,1978,14.7
September,1978,16.1
October,1978,16.6
November,1978,19.4
December,1978,21.4
January,1979,23.8
February,1979,22.5
March,1979,22.9
April,1979,19.8
May,1979,17.1
June,1979,15.7
July,1979,14.2
August,1979,14.8
September,1979,16
October,1979,17.2
November,1979,19.8
December,1979,21.5
January,1980,23.2
February,1980,22.6
March,1980,20.7
April,1980,19.1
May,1980,16.6
June,1980,14.4
July,1980,13.7
August,1980,13.9
September,1980,15.9
October,1980,18.2
November,1980,18.3
December,1980,20.6
January,1981,24.2
February,1981,23.8
March,1981,24.4
April,1981,21.1
May,1981,17.3
June,1981,15.9
July,1981,14.1
August,1981,14
September,1981,14.8
October,1981,16.8
November,1981,19
December,1981,22.4
January,1982,23.9
February,1982,24.5
March,1982,22.2
April,1982,18.6
May,1982,16.8
June,1982,13.9
July,1982,13.3
August,1982,14.2
September,1982,15.8
October,1982,16
November,1982,19.8
December,1982,20.7
January,1983,21.6
February,1983,22
March,1983,22.1
April,1983,19.5
May,1983,16.2
June,1983,14.3
July,1983,12.9
August,1983,14.6
September,1983,16.6
October,1983,17.9
November,1983,19.4
December,1983,20.2
January,1984,21.6
February,1984,23.3
March,1984,22.6
April,1984,19.5
May,1984,16.6
June,1984,14.8
July,1984,14.9
August,1984,15.4
September,1984,16
October,1984,17.4
November,1984,20.8
December,1984,23.1
January,1985,24
February,1985,23.3
March,1985,21.9
April,1985,19.4
May,1985,16.5
June,1985,16.1
July,1985,14.8
August,1985,14.5
September,1985,16.5
October,1985,17.2
November,1985,19.4
December,1985,22.5
January,1986,24.3
February,1986,23.4
March,1986,22.4
April,1986,20.2
May,1986,17.8
June,1986,14.9
July,1986,13.4
August,1986,14.2
September,1986,15.4
October,1986,18.1
November,1986,19.7
December,1986,21.7
January,1987,24.2
February,1987,22.5
March,1987,21.2
April,1987,19.1
May,1987,16.9
June,1987,14.9
July,1987,14.1
August,1987,15.4
September,1987,15.7
October,1987,18
November,1987,19.8
December,1987,21.6
January,1988,22.6
February,1988,23.9
March,1988,21.4
April,1988,19.5
May,1988,17.5
June,1988,15.5
July,1988,14.5
August,1988,15.2
September,1988,16.8
October,1988,18.1
November,1988,19.9
December,1988,22.5
January,1989,23.6
February,1989,23.6
March,1989,23.2
April,1989,20.3
May,1989,17.2
June,1989,15.6
July,1989,14.1
August,1989,15.2
September,1989,17.9
October,1989,18.9
November,1989,20.5
