PERIOD,YEAR,STATS_VALUE
June,1962,9.7
July,1962,7.1
August,1962,8.1
September,1962,9.4
October,1962,12.3
November,1962,12.7
December,1962,14.3
January,1963,15.3
February,1963,17.1
March,1963,14.4
April,1963,11.2
May,1963,9.7
June,1963,7.3
July,1963,7.1
August,1963,6.6
September,1963,8.4
October,1963,11.1
November,1963,10.9
December,1963,13.8
January,1964,13.9
February,1964,14.9
March,1964,14.4
April,1964,12.2
May,1964,9
June,1964,7.8
July,1964,8.8
August,1964,7.7
September,1964,8.9
October,1964,9.9
November,1964,11.6
December,1964,13.8
January,1965,15.2
February,1965,15.4
March,1965,13.3
April,1965,11.4
May,1965,9.3
June,1965,6.7
July,1965,4.5
August,1965,6.9
September,1965,8.8
October,1965,9.4
November,1965,11.3
December,1965,13.9
January,1966,16.1
February,1966,17.8
March,1966,15.4
April,1966,12.4
May,1966,8.6
June,1966,6.6
July,1966,7.1
August,1966,5.7
September,1966,8.6
October,1966,9.7
November,1966,12.1
December,1966,13.6
January,1967,14.5
February,1967,14.5
March,1967,15
April,1967,12.4
May,1967,10
June,1967,5.7
July,1967,6.2
August,1967,9.1
September,1967,8.7
October,1967,11.5
November,1967,13.1
December,1967,14.4
January,1968,15.1
February,1968,14.8
March,1968,16.2
April,1968,13
May,1968,9.7
June,1968,8.5
July,1968,6.6
August,1968,8
September,1968,7.9
October,1968,9.8
November,1968,11.2
December,1968,13.2
January,1969,14.5
February,1969,14.9
March,1969,13.3
April,1969,11.9
May,1969,10.2
June,1969,7.6
July,1969,4.8
August,1969,7.4
September,1969,9.8
October,1969,9.7
November,1969,12.5
December,1969,15.6
January,1970,16.5
February,1970,14.8
March,1970,15.6
April,1970,13.5
May,1970,8.8
June,1970,7.4
July,1970,7.1
August,1970,8.1
September,1970,10
October,1970,12.2
November,1970,12.5
December,1970,14.8
January,1971,17.2
February,1971,17.2
March,1971,14.4
April,1971,12.9
May,1971,10.1
June,1971,10
July,1971,6.1
August,1971,8.7
September,1971,9.6
October,1971,11
November,1971,12
December,1971,14.7
January,1972,15.4
February,1972,15
March,1972,16
April,1972,13.4
May,1972,10.1
June,1972,6.8
July,1972,7.3
August,1972,6.3
September,1972,10
October,1972,11.8
November,1972,14.4
December,1972,13.9
January,1973,15.9
February,1973,15.1
March,1973,15.5
April,1973,13.1
May,1973,11.4
June,1973,8.7
July,1973,6.4
August,1973,8.6
September,1973,10.3
October,1973,11.2
November,1973,13.9
December,1973,14.6
January,1974,15.1
February,1974,18.3
March,1974,13.8
April,1974,13.4
May,1974,10
June,1974,8.1
July,1974,8.5
August,1974,8.2
September,1974,9.7
October,1974,10.7
November,1974,13.2
December,1974,15
January,1975,16.6
February,1975,16.4
March,1975,15.6
April,1975,12.6
May,1975,11.7
June,1975,6.1
July,1975,6.2
August,1975,7.7
September,1975,9.7
October,1975,11.6
November,1975,11.9
December,1975,13.5
January,1976,16.2
February,1976,13.1
March,1976,14.3
April,1976,12.4
May,1976,8.8
June,1976,6.5
July,1976,6.5
August,1976,8.9
September,1976,8.9
October,1976,10.7
November,1976,11.7
December,1976,14.2
January,1977,15.3
February,1977,15.8
March,1977,15.5
April,1977,13.2
May,1977,7.9
June,1977,8.3
July,1977,7.7
August,1977,7.6
September,1977,7.5
October,1977,10.8
November,1977,11.5
December,1977,12.9
January,1978,15.8
February,1978,17
March,1978,15.3
April,1978,14.2
May,1978,9.5
June,1978,8.1
July,1978,7
August,1978,7.5
September,1978,9.1
October,1978,9.3
November,1978,12.7
December,1978,14.4
January,1979,16.6
February,1979,16.1
March,1979,16.3
April,1979,12.3
May,1979,9.9
June,1979,9.3
July,1979,7.2
August,1979,8.3
September,1979,9.7
October,1979,11.4
November,1979,12.8
December,1979,14.1
January,1980,15.6
February,1980,16.5
March,1980,13.9
April,1980,10.9
May,1980,10.1
June,1980,8.4
July,1980,7.1
August,1980,7
September,1980,10.4
October,1980,11.5
November,1980,12.5
December,1980,14.2
January,1981,17.1
February,1981,17
March,1981,16.7
April,1981,13
May,1981,9.6
June,1981,9
July,1981,6.6
August,1981,7.6
September,1981,9.8
October,1981,10.5
November,1981,12.7
December,1981,15.7
January,1982,16
February,1982,16.6
March,1982,13.5
April,1982,10.8
May,1982,10.1
June,1982,5.9
July,1982,5.7
August,1982,7.7
September,1982,8.7
October,1982,9.9
