YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1999,,,,,,13.8,13,12.7,14,15.6,16.1,16.6,
2000,18.3,19,18,17.2,15.9,13.6,13.9,12.8,13.6,14.5,14.7,17.8,15.8
2001,18.1,19.9,19.8,17.5,15.8,13.5,,,,,,17.7,
2002,18.6,19.1,18.7,17,15.2,14.1,12.3,12.3,13.3,13.6,14.5,17.3,15.5
2003,18.5,19.3,19,17.3,15.8,14.2,11.9,12.4,13.2,14.1,15.1,17.9,15.7
2004,19.5,18.5,17.2,16.9,15.3,13.9,12.4,11.6,12.7,13.9,15.6,15.5,15.3
2005,18.5,19.8,19.3,17.6,16.1,13.4,13.3,13.2,14.3,14.7,16.2,17.7,16.2
2006,19.2,20,18.3,17.7,15.2,12.2,12.2,12.6,13.8,14,15.6,15.7,15.5
2007,18.7,,19.4,17.1,16.2,13.7,13.1,13.1,14.3,15,16.2,18.3,
2008,20.2,20,19.8,17.8,14.9,14.2,12.9,12.3,13.8,14.4,15.8,,
2009,19.3,20.5,18.9,17.6,13.8,13.1,12.5,13.3,13.8,13.5,15,17.5,15.8
2010,18.6,20.6,19,17.7,15.6,13.6,12.4,12.9,,13.7,15.9,18.5,
2011,19.9,20.3,19.2,17.3,16.1,13.8,12.5,12.2,12.8,14.6,15.4,17.3,15.9
2012,17.9,19.5,18.1,17.3,14.6,13.2,13.2,13.1,13.1,13.9,14.6,17.7,15.5
2013,18.8,19.6,19.6,18.1,15.2,13.3,12.5,13.5,13.1,14.6,16.1,,
2014,,19.2,18.7,17.9,15.3,14.9,12.7,12.6,,13.8,14.6,18.2,
2015,19.9,19.9,19.3,17.6,15.1,12.9,11.9,12.5,12.7,13.9,15.6,17.4,15.7
2016,19.6,20.9,20.1,17.8,16.8,14,13.1,12.3,13.8,14.4,15.4,17.1,16.3
2017,18.1,20.1,19.5,17.9,15.4,13.5,12.4,13.5,12.9,14.6,16.2,19.3,16.1
2018,20.3,20.3,19.6,17.6,15.3,13.7,13,12.8,13,14.8,15.8,17.5,16.1
2019,20,21,20.2,17.5,16.4,13.6,13.6,12.3,,14.2,,,
2020,19.1,20.7,19.3,17.4,15.8,14.1,13.1,13.4,13.3,15.8,16.4,18,16.4
2021,19.4,20,19.3,17.4,15.6,14.7,13.2,12.9,13.6,15.2,17.3,19.4,16.5
2022,20.6,21.3,20.5,18.9,,,,14,14.1,,16.9,18.8,
2023,19.7,,18.8,18,16.1,,12.6,12.2,,,15.5,18,
2024,19.9,20.1,18.3,,,13.4,12.8,12.7,13.5,,,18.7,
2025,18.9,20.8,,,,,,,,,,,
