YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1999,,,,,,16.2,15.2,15.3,16.5,18.2,18.8,19.4,
2000,21,22.2,20.7,19.7,18.1,15.6,15.8,15.3,15.9,17,17.3,20.6,18.3
2001,21.1,22.4,23.1,20.1,17.8,15.7,,,,,,19.9,
2002,21.3,22.1,21.1,19.6,17.1,15.7,14.3,14.6,15.7,16.3,17.3,20.2,17.9
2003,21.3,22.7,21.7,20,17.9,16,14.3,14.7,15.3,16.8,17.9,20.7,18.3
2004,22.5,21.1,20.2,19.9,17.5,15.9,14.6,14.2,15.2,16.2,18.7,17.9,17.8
2005,21.7,22.8,22.4,20.8,18.5,15.6,15.3,15.9,16.9,17.4,19.3,20.4,18.9
2006,22.1,23.4,21.1,20,17.5,14.5,14.7,14.7,16.3,16.5,18.3,18.8,18.2
2007,21.8,,22.2,19.9,18.5,15.9,15.3,15.2,17,17.6,19.2,20.9,
2008,23.1,23.1,22.4,20,17.3,16.3,14.6,14.5,16.3,17,18.4,,
2009,22.6,23.2,21.7,20.1,16.2,15.2,14.4,15.3,16,16,17.4,20.3,18.2
2010,21.5,23.5,22.1,20.4,17.7,15.6,14.7,14.9,,16.5,18.7,20.8,
2011,22.7,23.2,21.7,19.6,18.1,15.5,14.8,14.6,15.5,16.9,18,19.5,18.3
2012,20.6,22.6,20.8,19.7,16.9,15.4,15.2,15.4,15.3,16.4,17.2,20.1,18
2013,21.7,23.1,22.9,20.6,17.7,15.4,14.7,15.5,15.2,17.4,19.1,,
2014,,22.2,21.8,20.3,17.5,16.9,14.9,14.7,,16.4,17.3,20.9,
2015,23.2,23.3,21.9,20.1,17.2,15,14.1,14.8,15.2,16.5,18.3,20.4,18.3
2016,22.1,23.5,22.8,20.2,19,16,15,14.8,16.2,17.1,18,20.1,18.7
2017,21.1,23.2,22,20,17.4,15.5,14.3,15.5,15,16.9,19,22.4,18.5
2018,22.8,22.6,22,19.9,17.4,15.8,15.2,15.1,15.5,17.5,18.6,20.3,18.5
2019,23,24.1,23.1,20.1,18.8,15.8,15.6,14.6,,16.7,,,
2020,22.5,24.1,22.3,20,18.1,16,15.3,15.7,15.7,18.7,18.9,21.2,19
2021,22.7,23.2,22.2,19.8,17.8,16.8,15.2,15.2,16.1,17.5,20.1,21.9,19
2022,23.8,23.9,23.7,21.6,,,,16.4,16.7,,19.4,21.6,
2023,22.1,,21.7,19.7,17.9,,14.7,14.4,,,18.3,20.6,
2024,22.9,23.5,21.4,,,16.3,15.6,15.8,16.1,,,21.5,
2025,21.9,24.2,,,,,,,,,,,
