YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1999,,,,,,11.5,10.8,10.1,11.4,12.9,13.5,13.8,
2000,15.6,15.8,15.2,14.6,13.7,11.6,12,10.2,11.2,12.1,12.1,15.1,13.3
2001,15,17.4,16.4,14.9,13.9,11.2,,,,,,15.5,
2002,16,16.2,16.3,14.4,13.2,12.6,10.2,10.1,10.9,10.9,11.6,14.3,13.1
2003,15.7,16,16.3,14.6,13.8,12.3,9.5,10.1,11.1,11.4,12.3,15.1,13.2
2004,16.5,15.9,14.3,13.9,13.1,11.9,10.2,9.1,10.2,11.5,12.5,13,12.7
2005,15.4,16.9,16.2,14.5,13.7,11.1,11.3,10.5,11.7,12,13,15,13.4
2006,16.2,16.5,15.4,15.3,12.8,9.9,9.8,10.4,11.3,11.5,13,12.7,12.9
2007,15.5,,16.7,14.3,13.8,11.6,10.9,10.9,11.6,12.3,13.3,15.7,
2008,17.3,16.9,17.1,15.6,12.5,12.1,11.3,10.2,11.3,11.7,13.2,,
2009,16.1,17.9,16.2,15.1,11.4,11,10.6,11.4,11.7,11,12.7,14.6,13.3
2010,15.6,17.7,15.9,14.9,13.4,11.5,10.1,10.8,,11,13.1,16.1,
2011,17,17.4,16.7,14.9,14,12,10.3,9.9,10.1,12.2,12.9,15.2,13.6
2012,15.1,16.5,15.3,14.9,12.4,11.1,11.1,10.8,11,11.3,12,15.4,13.1
2013,15.8,16.1,16.3,15.5,12.7,11.1,10.2,11.4,11.1,11.8,13.1,,
2014,,16.2,15.7,15.4,13,12.8,10.6,10.5,,11.2,11.9,15.5,
2015,16.5,16.6,16.7,15,13,10.8,9.8,10.2,10.3,11.4,13,14.3,13.1
2016,17.1,18.2,17.4,15.4,14.7,12.1,11.3,9.9,11.5,11.8,12.8,14.2,13.9
2017,15.1,17,16.9,15.9,13.4,11.6,10.4,11.5,10.7,12.2,13.4,16.1,13.7
2018,17.7,18.1,17.3,15.4,13.2,11.6,10.8,10.6,10.6,12,13,14.8,13.8
2019,17,17.9,17.3,14.9,14.1,11.5,11.5,10.1,,11.6,,,
2020,15.7,17.2,16.3,14.8,13.5,12.1,10.9,11.1,10.9,12.9,13.9,14.8,13.7
2021,16.2,16.8,16.3,15.1,13.5,12.7,11.1,10.6,11.2,12.9,14.5,16.8,14
2022,17.3,18.7,17.3,16.3,,,,11.6,11.6,,14.3,16,
2023,17.2,,16,16.2,14.3,,10.6,9.9,,,12.7,15.3,
2024,16.8,16.7,15.2,,,10.6,10,9.6,10.9,10.2,,15.9,
2025,16,17.3,,,,,,,,,,,
