PERIOD,YEAR,STATS_VALUE
June,1999,13.8
July,1999,13
August,1999,12.7
September,1999,14
October,1999,15.6
November,1999,16.1
December,1999,16.6
January,2000,18.3
February,2000,19
March,2000,18
April,2000,17.2
May,2000,15.9
June,2000,13.6
July,2000,13.9
August,2000,12.8
September,2000,13.6
October,2000,14.5
November,2000,14.7
December,2000,17.8
January,2001,18.1
February,2001,19.9
March,2001,19.8
April,2001,17.5
May,2001,15.8
June,2001,13.5
December,2001,17.7
January,2002,18.6
February,2002,19.1
March,2002,18.7
April,2002,17
May,2002,15.2
June,2002,14.1
July,2002,12.3
August,2002,12.3
September,2002,13.3
October,2002,13.6
November,2002,14.5
December,2002,17.3
January,2003,18.5
February,2003,19.3
March,2003,19
April,2003,17.3
May,2003,15.8
June,2003,14.2
July,2003,11.9
August,2003,12.4
September,2003,13.2
October,2003,14.1
November,2003,15.1
December,2003,17.9
January,2004,19.5
February,2004,18.5
March,2004,17.2
April,2004,16.9
May,2004,15.3
June,2004,13.9
July,2004,12.4
August,2004,11.6
September,2004,12.7
October,2004,13.9
November,2004,15.6
December,2004,15.5
January,2005,18.5
February,2005,19.8
March,2005,19.3
April,2005,17.6
May,2005,16.1
June,2005,13.4
July,2005,13.3
August,2005,13.2
September,2005,14.3
October,2005,14.7
November,2005,16.2
December,2005,17.7
January,2006,19.2
February,2006,20
March,2006,18.3
April,2006,17.7
May,2006,15.2
June,2006,12.2
July,2006,12.2
August,2006,12.6
September,2006,13.8
October,2006,14
November,2006,15.6
December,2006,15.7
January,2007,18.7
March,2007,19.4
April,2007,17.1
May,2007,16.2
June,2007,13.7
July,2007,13.1
August,2007,13.1
September,2007,14.3
October,2007,15
November,2007,16.2
December,2007,18.3
January,2008,20.2
February,2008,20
March,2008,19.8
April,2008,17.8
May,2008,14.9
June,2008,14.2
July,2008,12.9
August,2008,12.3
September,2008,13.8
October,2008,14.4
November,2008,15.8
January,2009,19.3
February,2009,20.5
March,2009,18.9
April,2009,17.6
May,2009,13.8
June,2009,13.1
July,2009,12.5
August,2009,13.3
September,2009,13.8
October,2009,13.5
November,2009,15
December,2009,17.5
January,2010,18.6
February,2010,20.6
March,2010,19
April,2010,17.7
May,2010,15.6
June,2010,13.6
July,2010,12.4
August,2010,12.9
October,2010,13.7
November,2010,15.9
December,2010,18.5
January,2011,19.9
February,2011,20.3
March,2011,19.2
April,2011,17.3
May,2011,16.1
June,2011,13.8
July,2011,12.5
August,2011,12.2
September,2011,12.8
October,2011,14.6
November,2011,15.4
December,2011,17.3
January,2012,17.9
February,2012,19.5
March,2012,18.1
April,2012,17.3
May,2012,14.6
June,2012,13.2
July,2012,13.2
August,2012,13.1
September,2012,13.1
October,2012,13.9
November,2012,14.6
December,2012,17.7
January,2013,18.8
February,2013,19.6
March,2013,19.6
April,2013,18.1
May,2013,15.2
June,2013,13.3
July,2013,12.5
August,2013,13.5
September,2013,13.1
October,2013,14.6
November,2013,16.1
February,2014,19.2
March,2014,18.7
April,2014,17.9
May,2014,15.3
June,2014,14.9
July,2014,12.7
August,2014,12.6
October,2014,13.8
November,2014,14.6
December,2014,18.2
January,2015,19.9
February,2015,19.9
March,2015,19.3
April,2015,17.6
May,2015,15.1
June,2015,12.9
July,2015,11.9
August,2015,12.5
September,2015,12.7
October,2015,13.9
November,2015,15.6
December,2015,17.4
January,2016,19.6
February,2016,20.9
March,2016,20.1
April,2016,17.8
May,2016,16.8
June,2016,14
July,2016,13.1
August,2016,12.3
September,2016,13.8
October,2016,14.4
November,2016,15.4
December,2016,17.1
January,2017,18.1
February,2017,20.1
March,2017,19.5
April,2017,17.9
May,2017,15.4
June,2017,13.5
July,2017,12.4
August,2017,13.5
September,2017,12.9
October,2017,14.6
November,2017,16.2
December,2017,19.3
January,2018,20.3
February,2018,20.3
March,2018,19.6
April,2018,17.6
May,2018,15.3
June,2018,13.7
July,2018,13
August,2018,12.8
September,2018,13
October,2018,14.8
November,2018,15.8
December,2018,17.5
January,2019,20
February,2019,21
March,2019,20.2
April,2019,17.5
May,2019,16.4
June,2019,13.6
July,2019,13.6
August,2019,12.3
October,2019,14.2
January,2020,19.1
February,2020,20.7
March,2020,19.3
April,2020,17.4
May,2020,15.8
June,2020,14.1
July,2020,13.1
August,2020,13.4
September,2020,13.3
October,2020,15.8
November,2020,16.4
December,2020,18
January,2021,19.4
February,2021,20
March,2021,19.3
April,2021,17.4
May,2021,15.6
June,2021,14.7
July,2021,13.2
August,2021,12.9
September,2021,13.6
October,2021,15.2
November,2021,17.3
December,2021,19.4
January,2022,20.6
February,2022,21.3
March,2022,20.5
April,2022,18.9
August,2022,14
September,2022,14.1
November,2022,16.9
December,2022,18.8
January,2023,19.7
March,2023,18.8
April,2023,18
May,2023,16.1
July,2023,12.6
August,2023,12.2
November,2023,15.5
December,2023,18
January,2024,19.9
February,2024,20.1
March,2024,18.3
June,2024,13.4
July,2024,12.8
August,2024,12.7
September,2024,13.5
December,2024,18.7
January,2025,18.9
February,2025,20.8
