PERIOD,YEAR,STATS_VALUE
June,1999,16.2
July,1999,15.2
August,1999,15.3
September,1999,16.5
October,1999,18.2
November,1999,18.8
December,1999,19.4
January,2000,21
February,2000,22.2
March,2000,20.7
April,2000,19.7
May,2000,18.1
June,2000,15.6
July,2000,15.8
August,2000,15.3
September,2000,15.9
October,2000,17
November,2000,17.3
December,2000,20.6
January,2001,21.1
February,2001,22.4
March,2001,23.1
April,2001,20.1
May,2001,17.8
June,2001,15.7
December,2001,19.9
January,2002,21.3
February,2002,22.1
March,2002,21.1
April,2002,19.6
May,2002,17.1
June,2002,15.7
July,2002,14.3
August,2002,14.6
September,2002,15.7
October,2002,16.3
November,2002,17.3
December,2002,20.2
January,2003,21.3
February,2003,22.7
March,2003,21.7
April,2003,20
May,2003,17.9
June,2003,16
July,2003,14.3
August,2003,14.7
September,2003,15.3
October,2003,16.8
November,2003,17.9
December,2003,20.7
January,2004,22.5
February,2004,21.1
March,2004,20.2
April,2004,19.9
May,2004,17.5
June,2004,15.9
July,2004,14.6
August,2004,14.2
September,2004,15.2
October,2004,16.2
November,2004,18.7
December,2004,17.9
January,2005,21.7
February,2005,22.8
March,2005,22.4
April,2005,20.8
May,2005,18.5
June,2005,15.6
July,2005,15.3
August,2005,15.9
September,2005,16.9
October,2005,17.4
November,2005,19.3
December,2005,20.4
January,2006,22.1
February,2006,23.4
March,2006,21.1
April,2006,20
May,2006,17.5
June,2006,14.5
July,2006,14.7
August,2006,14.7
September,2006,16.3
October,2006,16.5
November,2006,18.3
December,2006,18.8
January,2007,21.8
March,2007,22.2
April,2007,19.9
May,2007,18.5
June,2007,15.9
July,2007,15.3
August,2007,15.2
September,2007,17
October,2007,17.6
November,2007,19.2
December,2007,20.9
January,2008,23.1
February,2008,23.1
March,2008,22.4
April,2008,20
May,2008,17.3
June,2008,16.3
July,2008,14.6
August,2008,14.5
September,2008,16.3
October,2008,17
November,2008,18.4
January,2009,22.6
February,2009,23.2
March,2009,21.7
April,2009,20.1
May,2009,16.2
June,2009,15.2
July,2009,14.4
August,2009,15.3
September,2009,16
October,2009,16
November,2009,17.4
December,2009,20.3
January,2010,21.5
February,2010,23.5
March,2010,22.1
April,2010,20.4
May,2010,17.7
June,2010,15.6
July,2010,14.7
August,2010,14.9
October,2010,16.5
November,2010,18.7
December,2010,20.8
January,2011,22.7
February,2011,23.2
March,2011,21.7
April,2011,19.6
May,2011,18.1
June,2011,15.5
July,2011,14.8
August,2011,14.6
September,2011,15.5
October,2011,16.9
November,2011,18
December,2011,19.5
January,2012,20.6
February,2012,22.6
March,2012,20.8
April,2012,19.7
May,2012,16.9
June,2012,15.4
July,2012,15.2
August,2012,15.4
September,2012,15.3
October,2012,16.4
November,2012,17.2
December,2012,20.1
January,2013,21.7
February,2013,23.1
March,2013,22.9
April,2013,20.6
May,2013,17.7
June,2013,15.4
July,2013,14.7
August,2013,15.5
September,2013,15.2
October,2013,17.4
November,2013,19.1
February,2014,22.2
March,2014,21.8
April,2014,20.3
May,2014,17.5
June,2014,16.9
July,2014,14.9
August,2014,14.7
October,2014,16.4
November,2014,17.3
December,2014,20.9
January,2015,23.2
February,2015,23.3
March,2015,21.9
April,2015,20.1
May,2015,17.2
June,2015,15
July,2015,14.1
August,2015,14.8
September,2015,15.2
October,2015,16.5
November,2015,18.3
December,2015,20.4
January,2016,22.1
February,2016,23.5
March,2016,22.8
April,2016,20.2
May,2016,19
June,2016,16
July,2016,15
August,2016,14.8
September,2016,16.2
October,2016,17.1
November,2016,18
December,2016,20.1
January,2017,21.1
February,2017,23.2
March,2017,22
April,2017,20
May,2017,17.4
June,2017,15.5
July,2017,14.3
August,2017,15.5
September,2017,15
October,2017,16.9
November,2017,19
December,2017,22.4
January,2018,22.8
February,2018,22.6
March,2018,22
April,2018,19.9
May,2018,17.4
June,2018,15.8
July,2018,15.2
August,2018,15.1
September,2018,15.5
October,2018,17.5
November,2018,18.6
December,2018,20.3
January,2019,23
February,2019,24.1
March,2019,23.1
April,2019,20.1
May,2019,18.8
June,2019,15.8
July,2019,15.6
August,2019,14.6
October,2019,16.7
January,2020,22.5
February,2020,24.1
March,2020,22.3
April,2020,20
May,2020,18.1
June,2020,16
July,2020,15.3
August,2020,15.7
September,2020,15.7
October,2020,18.7
November,2020,18.9
December,2020,21.2
January,2021,22.7
February,2021,23.2
March,2021,22.2
April,2021,19.8
May,2021,17.8
June,2021,16.8
July,2021,15.2
August,2021,15.2
September,2021,16.1
October,2021,17.5
November,2021,20.1
December,2021,21.9
January,2022,23.8
February,2022,23.9
March,2022,23.7
April,2022,21.6
August,2022,16.4
September,2022,16.7
November,2022,19.4
December,2022,21.6
January,2023,22.1
March,2023,21.7
April,2023,19.7
May,2023,17.9
July,2023,14.7
August,2023,14.4
November,2023,18.3
December,2023,20.6
January,2024,22.9
February,2024,23.5
March,2024,21.4
June,2024,16.3
July,2024,15.6
August,2024,15.8
September,2024,16.1
December,2024,21.5
January,2025,21.9
February,2025,24.2
