PERIOD,YEAR,STATS_VALUE
June,1999,11.5
July,1999,10.8
August,1999,10.1
September,1999,11.4
October,1999,12.9
November,1999,13.5
December,1999,13.8
January,2000,15.6
February,2000,15.8
March,2000,15.2
April,2000,14.6
May,2000,13.7
June,2000,11.6
July,2000,12
August,2000,10.2
September,2000,11.2
October,2000,12.1
November,2000,12.1
December,2000,15.1
January,2001,15
February,2001,17.4
March,2001,16.4
April,2001,14.9
May,2001,13.9
June,2001,11.2
December,2001,15.5
January,2002,16
February,2002,16.2
March,2002,16.3
April,2002,14.4
May,2002,13.2
June,2002,12.6
July,2002,10.2
August,2002,10.1
September,2002,10.9
October,2002,10.9
November,2002,11.6
December,2002,14.3
January,2003,15.7
February,2003,16
March,2003,16.3
April,2003,14.6
May,2003,13.8
June,2003,12.3
July,2003,9.5
August,2003,10.1
September,2003,11.1
October,2003,11.4
November,2003,12.3
December,2003,15.1
January,2004,16.5
February,2004,15.9
March,2004,14.3
April,2004,13.9
May,2004,13.1
June,2004,11.9
July,2004,10.2
August,2004,9.1
September,2004,10.2
October,2004,11.5
November,2004,12.5
December,2004,13
January,2005,15.4
February,2005,16.9
March,2005,16.2
April,2005,14.5
May,2005,13.7
June,2005,11.1
July,2005,11.3
August,2005,10.5
September,2005,11.7
October,2005,12
November,2005,13
December,2005,15
January,2006,16.2
February,2006,16.5
March,2006,15.4
April,2006,15.3
May,2006,12.8
June,2006,9.9
July,2006,9.8
August,2006,10.4
September,2006,11.3
October,2006,11.5
November,2006,13
December,2006,12.7
January,2007,15.5
March,2007,16.7
April,2007,14.3
May,2007,13.8
June,2007,11.6
July,2007,10.9
August,2007,10.9
September,2007,11.6
October,2007,12.3
November,2007,13.3
December,2007,15.7
January,2008,17.3
February,2008,16.9
March,2008,17.1
April,2008,15.6
May,2008,12.5
June,2008,12.1
July,2008,11.3
August,2008,10.2
September,2008,11.3
October,2008,11.7
November,2008,13.2
January,2009,16.1
February,2009,17.9
March,2009,16.2
April,2009,15.1
May,2009,11.4
June,2009,11
July,2009,10.6
August,2009,11.4
September,2009,11.7
October,2009,11
November,2009,12.7
December,2009,14.6
January,2010,15.6
February,2010,17.7
March,2010,15.9
April,2010,14.9
May,2010,13.4
June,2010,11.5
July,2010,10.1
August,2010,10.8
October,2010,11
November,2010,13.1
December,2010,16.1
January,2011,17
February,2011,17.4
March,2011,16.7
April,2011,14.9
May,2011,14
June,2011,12
July,2011,10.3
August,2011,9.9
September,2011,10.1
October,2011,12.2
November,2011,12.9
December,2011,15.2
January,2012,15.1
February,2012,16.5
March,2012,15.3
April,2012,14.9
May,2012,12.4
June,2012,11.1
July,2012,11.1
August,2012,10.8
September,2012,11
October,2012,11.3
November,2012,12
December,2012,15.4
January,2013,15.8
February,2013,16.1
March,2013,16.3
April,2013,15.5
May,2013,12.7
June,2013,11.1
July,2013,10.2
August,2013,11.4
September,2013,11.1
October,2013,11.8
November,2013,13.1
February,2014,16.2
March,2014,15.7
April,2014,15.4
May,2014,13
June,2014,12.8
July,2014,10.6
August,2014,10.5
October,2014,11.2
November,2014,11.9
December,2014,15.5
January,2015,16.5
February,2015,16.6
March,2015,16.7
April,2015,15
May,2015,13
June,2015,10.8
July,2015,9.8
August,2015,10.2
September,2015,10.3
October,2015,11.4
November,2015,13
December,2015,14.3
January,2016,17.1
February,2016,18.2
March,2016,17.4
April,2016,15.4
May,2016,14.7
June,2016,12.1
July,2016,11.3
August,2016,9.9
September,2016,11.5
October,2016,11.8
November,2016,12.8
December,2016,14.2
January,2017,15.1
February,2017,17
March,2017,16.9
April,2017,15.9
May,2017,13.4
June,2017,11.6
July,2017,10.4
August,2017,11.5
September,2017,10.7
October,2017,12.2
November,2017,13.4
December,2017,16.1
January,2018,17.7
February,2018,18.1
March,2018,17.3
April,2018,15.4
May,2018,13.2
June,2018,11.6
July,2018,10.8
August,2018,10.6
September,2018,10.6
October,2018,12
November,2018,13
December,2018,14.8
January,2019,17
February,2019,17.9
March,2019,17.3
April,2019,14.9
May,2019,14.1
June,2019,11.5
July,2019,11.5
August,2019,10.1
October,2019,11.6
January,2020,15.7
February,2020,17.2
March,2020,16.3
April,2020,14.8
May,2020,13.5
June,2020,12.1
July,2020,10.9
August,2020,11.1
September,2020,10.9
October,2020,12.9
November,2020,13.9
December,2020,14.8
January,2021,16.2
February,2021,16.8
March,2021,16.3
April,2021,15.1
May,2021,13.5
June,2021,12.7
July,2021,11.1
August,2021,10.6
September,2021,11.2
October,2021,12.9
November,2021,14.5
December,2021,16.8
January,2022,17.3
February,2022,18.7
March,2022,17.3
April,2022,16.3
August,2022,11.6
September,2022,11.6
November,2022,14.3
December,2022,16
January,2023,17.2
March,2023,16
April,2023,16.2
May,2023,14.3
July,2023,10.6
August,2023,9.9
November,2023,12.7
December,2023,15.3
January,2024,16.8
February,2024,16.7
March,2024,15.2
June,2024,10.6
July,2024,10
August,2024,9.6
September,2024,10.9
October,2024,10.2
December,2024,15.9
January,2025,16
February,2025,17.3
