YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1984,,,,36.2,,74.4,,,,,,,
1986,155.8,72.4,10.6,1,,,,,,,,59.2,
1987,,,57.2,90.4,,,,,,,,,
1988,,,,25.6,,,,,,,,,
1989,,,14.4,,,162.4,79.8,,178.6,,,24.4,
1991,,,24.6,,,,149.2,98.8,,54.4,,28.2,
1992,,,,,,,,,,,74.4,,
1993,,,,,,,,122.6,99.6,,,,
1994,,,,,,,,,,,25.6,11,
1995,100.6,29,59,114.6,93.4,122.6,130.4,56,70,89.4,94.4,95,1054.4
1996,44.6,45.2,,29.2,37.4,,,126.6,,114.4,18.4,101.2,
1997,51.2,22.8,,,62,,88,103.4,201,77.8,20.4,176.2,
1998,28.4,2.2,5.4,,,142.4,245.8,128.2,37,115.8,101,26.2,
1999,63.2,41.6,77.4,306.2,,110,113,83.4,38.2,35.6,148.4,,
2000,29.8,55.8,41.2,101.4,67.4,99,249.8,94.2,66.2,30,67.6,75.4,977.8
2001,61,55.2,19.2,128.4,204.2,53,,,,,,172.4,
2002,37.4,78,95,110.2,139.2,152,107.8,67.2,59.8,65.6,29,52.2,993.4
2003,100.4,8.4,146,60.6,208.2,69.2,106.4,150.4,,96.4,44,57.6,
2004,54.2,266.4,6,18.4,84.2,110.4,61.4,63,41,69.2,,114.2,
2005,16,94.4,11.4,10.2,95.2,84.5,112.4,77.6,126.4,96.4,22.8,176.8,924.1
2006,74.4,6.8,173.6,138.6,58.8,64.1,88.4,98.2,54.4,37,74.4,23.8,892.5
2007,61,,47.6,,19,145.6,181.6,84,,38,61,147.8,
2008,23,165.2,153.6,232.4,124,119.2,166,120,56.4,49.2,90.6,,
2009,11.2,155.6,49,130.2,129.8,108,165.8,74.6,100.8,81.2,22,12,1040.2
2010,20.8,,24.6,28.8,113,69,78.2,171,,23.4,40.8,,
2011,316.6,7.8,154.7,185.5,128.2,128.6,139.7,52.6,45.5,77.4,14.5,230.9,1482
2012,34.6,19.4,217.5,86.2,80.3,62.1,191.7,100.9,161.3,50.1,48.1,115.7,1167.9
2013,10.2,16.8,25.1,54.8,118.8,123.6,133.2,,,12.4,,,
2015,,27.4,38.2,,,45.6,,,,25,44.6,28.4,
2016,,84.2,53.8,,,128.6,,126.8,,,,37.4,
2017,,102.6,,90.2,,48.6,,85.8,104.6,47.6,88.4,6.6,
2018,,,,42.2,,,,,,,,,
2019,4,,,,,,,,,87.8,,,
2020,4.4,9.6,,,,,176.8,150,53.4,,60.2,16.6,
2021,30.2,,64.4,68.2,53.8,124.8,203,82.2,89.4,77.8,40,56.6,
2022,22.2,43,,67.8,,,,,,,,,
2023,,,,128.4,420.6,,122.8,,,,,63.8,
2024,43.6,12.2,32.6,62,47.4,,,,,72.2,44.2,94.2,
2025,118.6,6.6,,,,,,,,,,,
