PERIOD,YEAR,STATS_VALUE
April,1984,36.2
June,1984,74.4
January,1986,155.8
February,1986,72.4
March,1986,10.6
April,1986,1
December,1986,59.2
March,1987,57.2
April,1987,90.4
April,1988,25.6
March,1989,14.4
June,1989,162.4
July,1989,79.8
September,1989,178.6
December,1989,24.4
March,1991,24.6
July,1991,149.2
August,1991,98.8
October,1991,54.4
December,1991,28.2
November,1992,74.4
August,1993,122.6
September,1993,99.6
November,1994,25.6
December,1994,11
January,1995,100.6
February,1995,29
March,1995,59
April,1995,114.6
May,1995,93.4
June,1995,122.6
July,1995,130.4
August,1995,56
September,1995,70
October,1995,89.4
November,1995,94.4
December,1995,95
January,1996,44.6
February,1996,45.2
April,1996,29.2
May,1996,37.4
August,1996,126.6
October,1996,114.4
November,1996,18.4
December,1996,101.2
January,1997,51.2
February,1997,22.8
May,1997,62
July,1997,88
August,1997,103.4
September,1997,201
October,1997,77.8
November,1997,20.4
December,1997,176.2
January,1998,28.4
February,1998,2.2
March,1998,5.4
June,1998,142.4
July,1998,245.8
August,1998,128.2
September,1998,37
October,1998,115.8
November,1998,101
December,1998,26.2
January,1999,63.2
February,1999,41.6
March,1999,77.4
April,1999,306.2
June,1999,110
July,1999,113
August,1999,83.4
September,1999,38.2
October,1999,35.6
November,1999,148.4
January,2000,29.8
February,2000,55.8
March,2000,41.2
April,2000,101.4
May,2000,67.4
June,2000,99
July,2000,249.8
August,2000,94.2
September,2000,66.2
October,2000,30
November,2000,67.6
December,2000,75.4
January,2001,61
February,2001,55.2
March,2001,19.2
April,2001,128.4
May,2001,204.2
June,2001,53
December,2001,172.4
January,2002,37.4
February,2002,78
March,2002,95
April,2002,110.2
May,2002,139.2
June,2002,152
July,2002,107.8
August,2002,67.2
September,2002,59.8
October,2002,65.6
November,2002,29
December,2002,52.2
January,2003,100.4
February,2003,8.4
March,2003,146
April,2003,60.6
May,2003,208.2
June,2003,69.2
July,2003,106.4
August,2003,150.4
October,2003,96.4
November,2003,44
December,2003,57.6
January,2004,54.2
February,2004,266.4
March,2004,6
April,2004,18.4
May,2004,84.2
June,2004,110.4
July,2004,61.4
August,2004,63
September,2004,41
October,2004,69.2
December,2004,114.2
January,2005,16
February,2005,94.4
March,2005,11.4
April,2005,10.2
May,2005,95.2
June,2005,84.5
July,2005,112.4
August,2005,77.6
September,2005,126.4
October,2005,96.4
November,2005,22.8
December,2005,176.8
January,2006,74.4
February,2006,6.8
March,2006,173.6
April,2006,138.6
May,2006,58.8
June,2006,64.1
July,2006,88.4
August,2006,98.2
September,2006,54.4
October,2006,37
November,2006,74.4
December,2006,23.8
January,2007,61
March,2007,47.6
May,2007,19
June,2007,145.6
July,2007,181.6
August,2007,84
October,2007,38
November,2007,61
December,2007,147.8
January,2008,23
February,2008,165.2
March,2008,153.6
April,2008,232.4
May,2008,124
June,2008,119.2
July,2008,166
August,2008,120
September,2008,56.4
October,2008,49.2
November,2008,90.6
January,2009,11.2
February,2009,155.6
March,2009,49
April,2009,130.2
May,2009,129.8
June,2009,108
July,2009,165.8
August,2009,74.6
September,2009,100.8
October,2009,81.2
November,2009,22
December,2009,12
January,2010,20.8
March,2010,24.6
April,2010,28.8
May,2010,113
June,2010,69
July,2010,78.2
August,2010,171
October,2010,23.4
November,2010,40.8
January,2011,316.6
February,2011,7.8
March,2011,154.7
April,2011,185.5
May,2011,128.2
June,2011,128.6
July,2011,139.7
August,2011,52.6
September,2011,45.5
October,2011,77.4
November,2011,14.5
December,2011,230.9
January,2012,34.6
February,2012,19.4
March,2012,217.5
April,2012,86.2
May,2012,80.3
June,2012,62.1
July,2012,191.7
August,2012,100.9
September,2012,161.3
October,2012,50.1
November,2012,48.1
December,2012,115.7
January,2013,10.2
February,2013,16.8
March,2013,25.1
April,2013,54.8
May,2013,118.8
June,2013,123.6
July,2013,133.2
October,2013,12.4
February,2015,27.4
March,2015,38.2
June,2015,45.6
October,2015,25
November,2015,44.6
December,2015,28.4
February,2016,84.2
March,2016,53.8
June,2016,128.6
August,2016,126.8
December,2016,37.4
February,2017,102.6
April,2017,90.2
June,2017,48.6
August,2017,85.8
September,2017,104.6
October,2017,47.6
November,2017,88.4
December,2017,6.6
April,2018,42.2
January,2019,4
October,2019,87.8
January,2020,4.4
February,2020,9.6
July,2020,176.8
August,2020,150
September,2020,53.4
November,2020,60.2
December,2020,16.6
January,2021,30.2
March,2021,64.4
April,2021,68.2
May,2021,53.8
June,2021,124.8
July,2021,203
August,2021,82.2
September,2021,89.4
October,2021,77.8
November,2021,40
December,2021,56.6
January,2022,22.2
February,2022,43
April,2022,67.8
April,2023,128.4
May,2023,420.6
July,2023,122.8
December,2023,63.8
January,2024,43.6
February,2024,12.2
March,2024,32.6
April,2024,62
May,2024,47.4
October,2024,72.2
November,2024,44.2
December,2024,94.2
January,2025,118.6
February,2025,6.6
