PERIOD,YEAR,STATS_VALUE
Annual,1993,9.3
Annual,1994,9.4
Annual,1995,9.3
Annual,1996,9.2
Annual,1997,9.4
Annual,1998,10.3
Annual,1999,10.5
Annual,2000,9.9
Annual,2001,10
Annual,2002,9.9
Annual,2003,9.7
Annual,2004,9
Annual,2006,9.5
Annual,2007,10
Annual,2008,9.9
Annual,2009,9.3
Annual,2010,10.2
Annual,2011,9.9
Annual,2012,9.7
Annual,2013,10.5
Annual,2014,9.9
Annual,2015,10
Annual,2016,10.6
Annual,2017,10.3
Annual,2018,10.3
Annual,2019,10.5
Annual,2020,10.4
Annual,2021,10.5
Annual,2022,10.7
Annual,2023,10.7
Annual,2024,10
