PERIOD,YEAR,STATS_VALUE
Annual,1993,14.4
Annual,1994,14.5
Annual,1995,14.4
Annual,1996,14.4
Annual,1997,14.6
Annual,1998,15.4
Annual,1999,16.1
Annual,2000,15.3
Annual,2001,15.4
Annual,2002,15
Annual,2003,15.3
Annual,2004,14
Annual,2006,15
Annual,2007,15.7
Annual,2008,15.7
Annual,2009,14.8
Annual,2010,15.8
Annual,2011,15.5
Annual,2012,15.5
Annual,2013,16.1
Annual,2014,15.4
Annual,2015,15.6
Annual,2016,16.1
Annual,2017,15.9
Annual,2018,15.8
Annual,2019,15.9
Annual,2020,15.9
Annual,2021,15.9
Annual,2022,16.2
Annual,2023,16.1
Annual,2024,15.3
