PERIOD,YEAR,STATS_VALUE
Annual,1993,4.3
Annual,1994,4.3
Annual,1995,4.2
Annual,1996,4.1
Annual,1997,4.3
Annual,1998,5.1
Annual,1999,4.9
Annual,2000,4.6
Annual,2001,4.7
Annual,2002,4.8
Annual,2003,4.2
Annual,2004,4
Annual,2006,4
Annual,2007,4.3
Annual,2008,4
Annual,2009,3.9
Annual,2010,4.6
Annual,2011,4.3
Annual,2012,4
Annual,2013,4.9
Annual,2014,4.3
Annual,2015,4.3
Annual,2016,5
Annual,2017,4.7
Annual,2018,4.9
Annual,2019,5.1
Annual,2020,4.8
Annual,2021,5.1
Annual,2022,5.1
Annual,2023,5.2
Annual,2024,4.8
