YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1991,,,,,,,2,,7.8,,10.3,14.2,
1992,15.5,13.4,11.7,7.9,5,,3.3,4.2,6,9.2,13,14,
1993,14.2,14.4,11.5,9.1,6.9,5.6,3.7,4.8,7.3,10.6,10.6,13.2,9.3
1994,15.4,15.4,11.4,10.8,6.6,3,3.8,5.8,6.3,9,10.6,14.3,9.4
1995,15.8,16.1,12.2,9.9,6.8,4.1,0.2,4.8,7.1,9.5,11,14.3,9.3
1996,16.9,15.1,11.7,9.4,6.6,3.3,2.1,3.8,8.1,10.3,10.6,12.9,9.2
1997,14.9,15.9,12.1,9,8,4.3,2.7,4.8,6.6,10.3,11.4,12.8,9.4
1998,16.7,17.4,13.9,9.4,7.7,3.9,4.3,4.3,8.4,10.1,12.4,14.8,10.3
1999,17.8,18,15.1,9.3,8.9,4.2,3.5,5.1,8.4,11.4,11.1,13.5,10.5
2000,14.6,16.3,13.3,10.1,8.3,4.6,3.6,5,7.8,9.9,10.8,14.9,9.9
2001,14.2,16.4,13.3,10.7,6.8,4.2,1.6,5.6,9,11.4,12.2,15,10
2002,15.8,15,13.3,9.8,8.6,4.5,3.5,5.7,7.9,9.1,11.3,14.2,9.9
2003,15.6,14.2,14.7,8.8,7.6,6,3.5,4.8,6.2,9.3,11.1,14.7,9.7
2004,16.4,12.9,12.7,8.7,7.3,5,2,3.2,6.9,9.6,12.2,10.8,9
2005,16.3,17.4,13,9.3,6.6,3.4,4.6,6.3,8.4,10,,17,
2006,15.4,16,11.7,11,6.2,2.8,4.1,4.9,9.6,9.8,10.6,12.2,9.5
2007,16.1,16.2,14.5,9.8,9.1,3.2,2.6,5.5,7.9,8.5,12,14.9,10
2008,17.3,16,13.9,9.3,4.6,5.6,3.7,4.2,8.3,9.5,12.1,13.8,9.9
2009,15.8,14.2,13,10.2,4.8,2.4,2.8,6.4,8,8.4,12.4,13.7,9.3
2010,15.7,16.8,14.2,11.3,6.5,3.1,2.8,5.3,7.3,10.3,13.8,15.4,10.2
2011,15.7,15.5,12.7,9.3,8.7,4.9,2.8,4.5,7.3,9.9,11.8,16.2,9.9
2012,15.7,15.8,11.8,10.4,6.6,3.5,3.3,6,8.3,9.4,11.3,14.9,9.7
2013,15.7,16.3,14.8,10.5,6.3,3.8,5.6,7,7.9,9.9,13.6,14.7,10.5
2014,13.9,15.8,13.1,11.1,7,5.4,4.1,4.7,7.6,9.8,10.8,15.3,9.9
2015,16.7,14.9,13.6,10.2,6.9,4.9,3.6,4.8,6.9,10.8,11.6,14.8,10
2016,15.9,17.8,13.9,11.2,8.3,5.7,4.4,5.1,9,10.1,11.9,13.8,10.6
2017,14,14.8,13.6,11,5.9,4.5,3.3,6.2,7.8,11.4,14.1,17,10.3
2018,20.3,14.9,14.2,9.9,6.3,3.1,5,5.6,7.3,9.9,11.7,15.8,10.3
2019,17.1,15.5,15.2,9.4,8.8,4.6,5.3,5.5,8,9.3,13.7,13.1,10.5
2020,16.7,16.6,12.8,10.1,7.4,4.6,4,6.7,7.4,11.2,13,14,10.4
2021,15,16.3,13.5,10.8,7,5.8,4.7,6.2,7.5,10.7,13,15.2,10.5
2022,17.1,15.5,15.4,10.5,8.8,5,4.2,5.9,7.7,9.9,13,15.2,10.7
2023,17.7,16.8,12.9,10.8,8.7,4,5.2,5.3,8.8,10,12.2,15.7,10.7
2024,16.2,15,12,10.7,5.3,5.2,3.9,5.8,7.6,9.8,12.5,16,10
2025,15.9,17.4,14.1,11.5,,,,,,,,,
