YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1991,,,,,,,6.7,,12.8,,15.5,20,
1992,21.2,19.3,17.3,13.4,9.7,,7.9,8.1,11.3,14.7,18.7,19.7,
1993,19.6,20,17.1,14.2,11.8,9.5,8.3,9.9,12.1,15.8,16,18.6,14.4
1994,20.9,21.4,16.7,16.3,10.8,7.3,7.7,10.4,10.8,15.1,15.6,20.5,14.5
1995,22,22.3,18.4,15,11.5,7.5,4.5,9.5,11.5,15,16.7,19.5,14.4
1996,22.6,21.1,17,14.1,11.5,7.2,6.7,8.6,13.9,15.2,15.7,18.9,14.4
1997,21.3,21.6,17.9,14,12.3,8.8,7.5,9.3,11.8,15.7,16.4,18.3,14.6
1998,22.3,23.2,19.2,14.8,12.2,8.3,8.9,9.5,13.6,14.9,18.1,20.1,15.4
1999,24.8,25,20.6,14.3,14.5,8.9,8.3,10,14.3,17.2,15.8,19.4,16.1
2000,19.9,22.4,19.9,15.4,13.2,8.8,8.3,9.9,12.9,15,16.9,20.9,15.3
2001,19.9,22.8,19.6,16.4,10.6,9.1,6.7,10.3,14.8,16.8,17.3,20.3,15.4
2002,21.2,21.1,19,14.9,12.7,8.8,8.2,10.6,12.7,14.2,16.6,19.7,15
2003,21.4,21.1,21,14.7,12.6,10.4,8.4,10,11.1,14.8,16.6,20.9,15.3
2004,22.3,17.8,18.1,13.8,12,9.2,7.3,7.8,11.8,14.8,17.5,15.4,14
2005,22.1,23.1,18.1,15.3,11.3,7.7,9.3,12.2,14,15.8,,22.7,
2006,22.3,22.9,17.6,16.1,11,7.5,8.7,9.9,15.2,15.4,16,18,15
2007,22.2,23,20.6,15.1,14.7,7.6,7.3,10.6,13.7,13.6,18.8,21.6,15.7
2008,25.3,22.3,20.7,15.3,9.7,10.6,8.4,9.2,13.1,15.6,18.7,19.6,15.7
2009,22.3,20.1,19.1,16,8.7,7,7.5,10.9,13.7,13.9,18.3,19.6,14.8
2010,21.3,24,20.1,16.5,11.1,7.7,8.5,10,12,17,20.4,21.2,15.8
2011,21.2,21.3,18.5,14.9,13.2,10,7.3,10.5,13.1,15.9,17.4,23,15.5
2012,22.1,21.2,17.9,17.3,12,8.3,9.1,11.7,13.1,14.3,17.2,21.4,15.5
2013,22.3,23.5,21.2,16,11.4,7.9,10.6,12.1,13.3,15.2,19.6,20.5,16.1
2014,19.5,22.4,19.6,15.7,12.2,10.4,8.7,9.9,14,15.4,16,21.2,15.4
2015,23.4,20.7,19.1,14.8,12.2,9.9,9,9.9,12.4,16.8,17.7,21.5,15.6
2016,21.9,24.4,19.9,17.1,12.4,10.9,9,10.5,14.8,15.7,17.1,19.9,16.1
2017,19.4,20.9,20,15.7,11.2,9.5,8,11.3,12.8,17.5,20.5,23.7,15.9
2018,27.3,20.6,19.3,14.6,11.1,7.8,10,10.9,13.1,15.8,17.1,21.5,15.8
2019,23.1,21.8,21.6,14.7,13.8,9.4,10.1,10.6,13.5,14.5,19.4,18,15.9
2020,22.8,22.4,18.8,15.8,12.8,9.4,8.5,12.1,12.7,16.8,19.2,19.9,15.9
2021,20.3,22.8,19.1,16.3,12.6,10.2,9.7,11,12.8,16.3,18.9,20.4,15.9
2022,23.9,21.2,22.1,16.8,14,9.5,8.4,11.2,12.8,15.8,18.4,20.9,16.2
2023,24.4,22.8,18.7,16.2,13.6,8.2,9.9,10.2,14.2,15.9,18.1,21.2,16.1
2024,22.1,20.8,17.7,16.1,10.4,9.5,8.8,11,12.3,14.8,18.2,21.6,15.3
2025,22.1,24.1,20.3,16.5,,,,,,,,,
