YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1991,,,,,,,-2.8,,2.9,,5.1,8.4,
1992,9.8,7.5,6,2.4,0.3,,-1.2,0.4,0.8,3.7,7.4,8.2,
1993,8.8,8.8,6,4,2,1.8,-0.9,-0.3,2.6,5.3,5.3,7.9,4.3
1994,9.9,9.4,6.1,5.3,2.3,-1.2,-0.2,1.3,1.8,2.9,5.6,8.1,4.3
1995,9.7,9.9,6.1,4.8,2,0.6,-4.1,0,2.8,4.1,5.4,9.2,4.2
1996,11.2,9.1,6.4,4.7,1.8,-0.6,-2.5,-0.9,2.4,5.4,5.5,6.9,4.1
1997,8.5,10.1,6.3,4.1,3.7,-0.2,-2.1,0.3,1.5,5,6.4,7.4,4.3
1998,11.2,11.6,8.6,4,3.1,-0.5,-0.4,-0.9,3.2,5.4,6.7,9.6,5.1
1999,10.8,10.9,9.7,4.3,3.3,-0.5,-1.3,0.2,2.6,5.5,6.4,7.5,4.9
2000,9.4,10.2,6.6,4.8,3.4,0.4,-1,0.2,2.7,4.8,4.8,8.9,4.6
2001,8.5,10.1,7.1,5,2.9,-0.7,-3.5,0.9,3.2,6.1,7.1,9.8,4.7
2002,10.3,8.9,7.6,4.8,4.5,0.2,-1.3,0.9,3.2,4,6,8.7,4.8
2003,9.8,7.3,8.4,2.9,2.6,1.6,-1.3,-0.4,1.3,3.8,5.5,8.5,4.2
2004,10.5,8.1,7.3,3.6,2.7,0.7,-3.3,-1.3,1.9,4.4,6.9,6.1,4
2005,10.6,11.7,7.9,3.2,1.8,-1,-0.2,0.4,2.8,4.1,,11.3,
2006,8.5,9.1,5.8,5.9,1.4,-1.8,-0.5,0,4,4.2,5.3,6.4,4
2007,9.9,9.4,8.5,4.4,3.6,-1.2,-2.1,0.5,2.2,3.3,5.2,8.1,4.3
2008,9.4,9.6,7.1,3.3,-0.6,0.6,-1,-0.7,3.4,3.5,5.5,7.9,4
2009,9.4,8.3,7,4.3,0.9,-2.1,-1.9,1.8,2.3,2.8,6.4,7.8,3.9
2010,10.1,9.5,8.2,6,2,-1.6,-3,0.6,2.5,3.6,7.2,9.6,4.6
2011,10.2,9.7,6.8,3.6,4.3,-0.2,-1.7,-1.5,1.4,3.9,6.2,9.4,4.3
2012,9.2,10.4,5.6,3.6,1.2,-1.3,-2.5,0.3,3.5,4.5,5.3,8.5,4
2013,9.1,9.1,8.5,5,1.2,-0.3,0.7,1.9,2.4,4.6,7.6,8.9,4.9
2014,8.4,9.2,6.6,6.5,1.9,0.4,-0.5,-0.6,1.1,4.2,5.6,9.3,4.3
2015,10,9.1,8,5.5,1.6,0,-1.8,-0.3,1.4,4.8,5.5,8.2,4.3
2016,9.9,11.3,7.9,5.3,4.1,0.5,-0.2,-0.3,3.2,4.6,6.7,7.7,5
2017,8.6,8.6,7.2,6.3,0.6,-0.6,-1.4,1.1,2.8,5.4,7.7,10.4,4.7
2018,13.3,9.2,9.2,5.1,1.4,-1.5,0,0.3,1.6,4,6.3,10,4.9
2019,11.2,9.2,8.8,4,3.8,-0.2,0.4,0.5,2.5,4.1,8.1,8.3,5.1
2020,10.5,10.8,6.8,4.5,2.1,-0.2,-0.5,1.3,2.1,5.6,6.7,8.2,4.8
2021,9.8,9.7,7.9,5.2,1.3,1.5,-0.2,1.3,2.2,5.1,7.1,10,5.1
2022,10.2,9.9,8.8,4.2,3.7,0.4,-0.1,0.6,2.6,3.9,7.7,9.6,5.1
2023,11,10.7,7.1,5.3,3.8,-0.2,0.5,0.4,3.5,4.2,6.3,10.3,5.2
2024,10.3,9.2,6.3,5.4,0.3,0.9,-0.9,0.6,3,4.8,6.8,10.5,4.8
2025,9.6,10.6,8,6.5,,,,,,,,,
