PERIOD,YEAR,STATS_VALUE
July,1991,6.7
September,1991,12.8
November,1991,15.5
December,1991,20
January,1992,21.2
February,1992,19.3
March,1992,17.3
April,1992,13.4
May,1992,9.7
July,1992,7.9
August,1992,8.1
September,1992,11.3
October,1992,14.7
November,1992,18.7
December,1992,19.7
January,1993,19.6
February,1993,20
March,1993,17.1
April,1993,14.2
May,1993,11.8
June,1993,9.5
July,1993,8.3
August,1993,9.9
September,1993,12.1
October,1993,15.8
November,1993,16
December,1993,18.6
January,1994,20.9
February,1994,21.4
March,1994,16.7
April,1994,16.3
May,1994,10.8
June,1994,7.3
July,1994,7.7
August,1994,10.4
September,1994,10.8
October,1994,15.1
November,1994,15.6
December,1994,20.5
January,1995,22
February,1995,22.3
March,1995,18.4
April,1995,15
May,1995,11.5
June,1995,7.5
July,1995,4.5
August,1995,9.5
September,1995,11.5
October,1995,15
November,1995,16.7
December,1995,19.5
January,1996,22.6
February,1996,21.1
March,1996,17
April,1996,14.1
May,1996,11.5
June,1996,7.2
July,1996,6.7
August,1996,8.6
September,1996,13.9
October,1996,15.2
November,1996,15.7
December,1996,18.9
January,1997,21.3
February,1997,21.6
March,1997,17.9
April,1997,14
May,1997,12.3
June,1997,8.8
July,1997,7.5
August,1997,9.3
September,1997,11.8
October,1997,15.7
November,1997,16.4
December,1997,18.3
January,1998,22.3
February,1998,23.2
March,1998,19.2
April,1998,14.8
May,1998,12.2
June,1998,8.3
July,1998,8.9
August,1998,9.5
September,1998,13.6
October,1998,14.9
November,1998,18.1
December,1998,20.1
January,1999,24.8
February,1999,25
March,1999,20.6
April,1999,14.3
May,1999,14.5
June,1999,8.9
July,1999,8.3
August,1999,10
September,1999,14.3
October,1999,17.2
November,1999,15.8
December,1999,19.4
January,2000,19.9
February,2000,22.4
March,2000,19.9
April,2000,15.4
May,2000,13.2
June,2000,8.8
July,2000,8.3
August,2000,9.9
September,2000,12.9
October,2000,15
November,2000,16.9
December,2000,20.9
January,2001,19.9
February,2001,22.8
March,2001,19.6
April,2001,16.4
May,2001,10.6
June,2001,9.1
July,2001,6.7
August,2001,10.3
September,2001,14.8
October,2001,16.8
November,2001,17.3
December,2001,20.3
January,2002,21.2
February,2002,21.1
March,2002,19
April,2002,14.9
May,2002,12.7
June,2002,8.8
July,2002,8.2
August,2002,10.6
September,2002,12.7
October,2002,14.2
November,2002,16.6
December,2002,19.7
January,2003,21.4
February,2003,21.1
March,2003,21
April,2003,14.7
May,2003,12.6
June,2003,10.4
July,2003,8.4
August,2003,10
September,2003,11.1
October,2003,14.8
November,2003,16.6
December,2003,20.9
January,2004,22.3
February,2004,17.8
March,2004,18.1
April,2004,13.8
May,2004,12
June,2004,9.2
July,2004,7.3
August,2004,7.8
September,2004,11.8
October,2004,14.8
November,2004,17.5
December,2004,15.4
January,2005,22.1
February,2005,23.1
March,2005,18.1
April,2005,15.3
May,2005,11.3
June,2005,7.7
July,2005,9.3
August,2005,12.2
September,2005,14
October,2005,15.8
December,2005,22.7
January,2006,22.3
February,2006,22.9
March,2006,17.6
April,2006,16.1
May,2006,11
June,2006,7.5
July,2006,8.7
August,2006,9.9
September,2006,15.2
October,2006,15.4
November,2006,16
December,2006,18
January,2007,22.2
February,2007,23
March,2007,20.6
April,2007,15.1
May,2007,14.7
June,2007,7.6
July,2007,7.3
August,2007,10.6
September,2007,13.7
October,2007,13.6
November,2007,18.8
December,2007,21.6
January,2008,25.3
February,2008,22.3
March,2008,20.7
April,2008,15.3
May,2008,9.7
June,2008,10.6
July,2008,8.4
August,2008,9.2
September,2008,13.1
October,2008,15.6
November,2008,18.7
December,2008,19.6
January,2009,22.3
February,2009,20.1
March,2009,19.1
April,2009,16
May,2009,8.7
June,2009,7
July,2009,7.5
August,2009,10.9
September,2009,13.7
October,2009,13.9
November,2009,18.3
December,2009,19.6
January,2010,21.3
February,2010,24
March,2010,20.1
April,2010,16.5
May,2010,11.1
June,2010,7.7
July,2010,8.5
August,2010,10
September,2010,12
October,2010,17
November,2010,20.4
December,2010,21.2
January,2011,21.2
February,2011,21.3
March,2011,18.5
April,2011,14.9
May,2011,13.2
June,2011,10
July,2011,7.3
August,2011,10.5
September,2011,13.1
October,2011,15.9
November,2011,17.4
December,2011,23
January,2012,22.1
February,2012,21.2
March,2012,17.9
April,2012,17.3
May,2012,12
June,2012,8.3
July,2012,9.1
August,2012,11.7
September,2012,13.1
October,2012,14.3
November,2012,17.2
December,2012,21.4
January,2013,22.3
February,2013,23.5
March,2013,21.2
April,2013,16
May,2013,11.4
June,2013,7.9
July,2013,10.6
August,2013,12.1
September,2013,13.3
October,2013,15.2
November,2013,19.6
December,2013,20.5
January,2014,19.5
February,2014,22.4
March,2014,19.6
April,2014,15.7
May,2014,12.2
June,2014,10.4
July,2014,8.7
August,2014,9.9
September,2014,14
October,2014,15.4
November,2014,16
December,2014,21.2
January,2015,23.4
February,2015,20.7
March,2015,19.1
April,2015,14.8
May,2015,12.2
June,2015,9.9
July,2015,9
August,2015,9.9
September,2015,12.4
October,2015,16.8
November,2015,17.7
December,2015,21.5
January,2016,21.9
February,2016,24.4
March,2016,19.9
April,2016,17.1
May,2016,12.4
June,2016,10.9
July,2016,9
August,2016,10.5
September,2016,14.8
October,2016,15.7
November,2016,17.1
December,2016,19.9
January,2017,19.4
February,2017,20.9
March,2017,20
April,2017,15.7
May,2017,11.2
June,2017,9.5
July,2017,8
August,2017,11.3
September,2017,12.8
October,2017,17.5
November,2017,20.5
December,2017,23.7
January,2018,27.3
February,2018,20.6
March,2018,19.3
April,2018,14.6
May,2018,11.1
June,2018,7.8
July,2018,10
August,2018,10.9
September,2018,13.1
October,2018,15.8
November,2018,17.1
December,2018,21.5
January,2019,23.1
February,2019,21.8
March,2019,21.6
April,2019,14.7
May,2019,13.8
June,2019,9.4
July,2019,10.1
August,2019,10.6
September,2019,13.5
October,2019,14.5
November,2019,19.4
December,2019,18
January,2020,22.8
February,2020,22.4
March,2020,18.8
April,2020,15.8
May,2020,12.8
June,2020,9.4
July,2020,8.5
August,2020,12.1
September,2020,12.7
October,2020,16.8
November,2020,19.2
December,2020,19.9
January,2021,20.3
February,2021,22.8
March,2021,19.1
April,2021,16.3
May,2021,12.6
June,2021,10.2
July,2021,9.7
August,2021,11
September,2021,12.8
October,2021,16.3
November,2021,18.9
December,2021,20.4
January,2022,23.9
February,2022,21.2
March,2022,22.1
April,2022,16.8
May,2022,14
June,2022,9.5
July,2022,8.4
August,2022,11.2
September,2022,12.8
October,2022,15.8
November,2022,18.4
December,2022,20.9
January,2023,24.4
February,2023,22.8
March,2023,18.7
April,2023,16.2
May,2023,13.6
June,2023,8.2
July,2023,9.9
August,2023,10.2
September,2023,14.2
October,2023,15.9
November,2023,18.1
December,2023,21.2
January,2024,22.1
February,2024,20.8
March,2024,17.7
April,2024,16.1
May,2024,10.4
June,2024,9.5
July,2024,8.8
August,2024,11
September,2024,12.3
October,2024,14.8
November,2024,18.2
December,2024,21.6
January,2025,22.1
February,2025,24.1
March,2025,20.3
April,2025,16.5
