PERIOD,YEAR,STATS_VALUE
July,1991,-2.8
September,1991,2.9
November,1991,5.1
December,1991,8.4
January,1992,9.8
February,1992,7.5
March,1992,6
April,1992,2.4
May,1992,0.3
July,1992,-1.2
August,1992,0.4
September,1992,0.8
October,1992,3.7
November,1992,7.4
December,1992,8.2
January,1993,8.8
February,1993,8.8
March,1993,6
April,1993,4
May,1993,2
June,1993,1.8
July,1993,-0.9
August,1993,-0.3
September,1993,2.6
October,1993,5.3
November,1993,5.3
December,1993,7.9
January,1994,9.9
February,1994,9.4
March,1994,6.1
April,1994,5.3
May,1994,2.3
June,1994,-1.2
July,1994,-0.2
August,1994,1.3
September,1994,1.8
October,1994,2.9
November,1994,5.6
December,1994,8.1
January,1995,9.7
February,1995,9.9
March,1995,6.1
April,1995,4.8
May,1995,2
June,1995,0.6
July,1995,-4.1
August,1995,0
September,1995,2.8
October,1995,4.1
November,1995,5.4
December,1995,9.2
January,1996,11.2
February,1996,9.1
March,1996,6.4
April,1996,4.7
May,1996,1.8
June,1996,-0.6
July,1996,-2.5
August,1996,-0.9
September,1996,2.4
October,1996,5.4
November,1996,5.5
December,1996,6.9
January,1997,8.5
February,1997,10.1
March,1997,6.3
April,1997,4.1
May,1997,3.7
June,1997,-0.2
July,1997,-2.1
August,1997,0.3
September,1997,1.5
October,1997,5
November,1997,6.4
December,1997,7.4
January,1998,11.2
February,1998,11.6
March,1998,8.6
April,1998,4
May,1998,3.1
June,1998,-0.5
July,1998,-0.4
August,1998,-0.9
September,1998,3.2
October,1998,5.4
November,1998,6.7
December,1998,9.6
January,1999,10.8
February,1999,10.9
March,1999,9.7
April,1999,4.3
May,1999,3.3
June,1999,-0.5
July,1999,-1.3
August,1999,0.2
September,1999,2.6
October,1999,5.5
November,1999,6.4
December,1999,7.5
January,2000,9.4
February,2000,10.2
March,2000,6.6
April,2000,4.8
May,2000,3.4
June,2000,0.4
July,2000,-1
August,2000,0.2
September,2000,2.7
October,2000,4.8
November,2000,4.8
December,2000,8.9
January,2001,8.5
February,2001,10.1
March,2001,7.1
April,2001,5
May,2001,2.9
June,2001,-0.7
July,2001,-3.5
August,2001,0.9
September,2001,3.2
October,2001,6.1
November,2001,7.1
December,2001,9.8
January,2002,10.3
February,2002,8.9
March,2002,7.6
April,2002,4.8
May,2002,4.5
June,2002,0.2
July,2002,-1.3
August,2002,0.9
September,2002,3.2
October,2002,4
November,2002,6
December,2002,8.7
January,2003,9.8
February,2003,7.3
March,2003,8.4
April,2003,2.9
May,2003,2.6
June,2003,1.6
July,2003,-1.3
August,2003,-0.4
September,2003,1.3
October,2003,3.8
November,2003,5.5
December,2003,8.5
January,2004,10.5
February,2004,8.1
March,2004,7.3
April,2004,3.6
May,2004,2.7
June,2004,0.7
July,2004,-3.3
August,2004,-1.3
September,2004,1.9
October,2004,4.4
November,2004,6.9
December,2004,6.1
January,2005,10.6
February,2005,11.7
March,2005,7.9
April,2005,3.2
May,2005,1.8
June,2005,-1
July,2005,-0.2
August,2005,0.4
September,2005,2.8
October,2005,4.1
December,2005,11.3
January,2006,8.5
February,2006,9.1
March,2006,5.8
April,2006,5.9
May,2006,1.4
June,2006,-1.8
July,2006,-0.5
August,2006,0
September,2006,4
October,2006,4.2
November,2006,5.3
December,2006,6.4
January,2007,9.9
February,2007,9.4
March,2007,8.5
April,2007,4.4
May,2007,3.6
June,2007,-1.2
July,2007,-2.1
August,2007,0.5
September,2007,2.2
October,2007,3.3
November,2007,5.2
December,2007,8.1
January,2008,9.4
February,2008,9.6
March,2008,7.1
April,2008,3.3
May,2008,-0.6
June,2008,0.6
July,2008,-1
August,2008,-0.7
September,2008,3.4
October,2008,3.5
November,2008,5.5
December,2008,7.9
January,2009,9.4
February,2009,8.3
March,2009,7
April,2009,4.3
May,2009,0.9
June,2009,-2.1
July,2009,-1.9
August,2009,1.8
September,2009,2.3
October,2009,2.8
November,2009,6.4
December,2009,7.8
January,2010,10.1
February,2010,9.5
March,2010,8.2
April,2010,6
May,2010,2
June,2010,-1.6
July,2010,-3
August,2010,0.6
September,2010,2.5
October,2010,3.6
November,2010,7.2
December,2010,9.6
January,2011,10.2
February,2011,9.7
March,2011,6.8
April,2011,3.6
May,2011,4.3
June,2011,-0.2
July,2011,-1.7
August,2011,-1.5
September,2011,1.4
October,2011,3.9
November,2011,6.2
December,2011,9.4
January,2012,9.2
February,2012,10.4
March,2012,5.6
April,2012,3.6
May,2012,1.2
June,2012,-1.3
July,2012,-2.5
August,2012,0.3
September,2012,3.5
October,2012,4.5
November,2012,5.3
December,2012,8.5
January,2013,9.1
February,2013,9.1
March,2013,8.5
April,2013,5
May,2013,1.2
June,2013,-0.3
July,2013,0.7
August,2013,1.9
September,2013,2.4
October,2013,4.6
November,2013,7.6
December,2013,8.9
January,2014,8.4
February,2014,9.2
March,2014,6.6
April,2014,6.5
May,2014,1.9
June,2014,0.4
July,2014,-0.5
August,2014,-0.6
September,2014,1.1
October,2014,4.2
November,2014,5.6
December,2014,9.3
January,2015,10
February,2015,9.1
March,2015,8
April,2015,5.5
May,2015,1.6
June,2015,0
July,2015,-1.8
August,2015,-0.3
September,2015,1.4
October,2015,4.8
November,2015,5.5
December,2015,8.2
January,2016,9.9
February,2016,11.3
March,2016,7.9
April,2016,5.3
May,2016,4.1
June,2016,0.5
July,2016,-0.2
August,2016,-0.3
September,2016,3.2
October,2016,4.6
November,2016,6.7
December,2016,7.7
January,2017,8.6
February,2017,8.6
March,2017,7.2
April,2017,6.3
May,2017,0.6
June,2017,-0.6
July,2017,-1.4
August,2017,1.1
September,2017,2.8
October,2017,5.4
November,2017,7.7
December,2017,10.4
January,2018,13.3
February,2018,9.2
March,2018,9.2
April,2018,5.1
May,2018,1.4
June,2018,-1.5
July,2018,0
August,2018,0.3
September,2018,1.6
October,2018,4
November,2018,6.3
December,2018,10
January,2019,11.2
February,2019,9.2
March,2019,8.8
April,2019,4
May,2019,3.8
June,2019,-0.2
July,2019,0.4
August,2019,0.5
September,2019,2.5
October,2019,4.1
November,2019,8.1
December,2019,8.3
January,2020,10.5
February,2020,10.8
March,2020,6.8
April,2020,4.5
May,2020,2.1
June,2020,-0.2
July,2020,-0.5
August,2020,1.3
September,2020,2.1
October,2020,5.6
November,2020,6.7
December,2020,8.2
January,2021,9.8
February,2021,9.7
March,2021,7.9
April,2021,5.2
May,2021,1.3
June,2021,1.5
July,2021,-0.2
August,2021,1.3
September,2021,2.2
October,2021,5.1
November,2021,7.1
December,2021,10
January,2022,10.2
February,2022,9.9
March,2022,8.8
April,2022,4.2
May,2022,3.7
June,2022,0.4
July,2022,-0.1
August,2022,0.6
September,2022,2.6
October,2022,3.9
November,2022,7.7
December,2022,9.6
January,2023,11
February,2023,10.7
March,2023,7.1
April,2023,5.3
May,2023,3.8
June,2023,-0.2
July,2023,0.5
August,2023,0.4
September,2023,3.5
October,2023,4.2
November,2023,6.3
December,2023,10.3
January,2024,10.3
February,2024,9.2
March,2024,6.3
April,2024,5.4
May,2024,0.3
June,2024,0.9
July,2024,-0.9
August,2024,0.6
September,2024,3
October,2024,4.8
November,2024,6.8
December,2024,10.5
January,2025,9.6
February,2025,10.6
March,2025,8
April,2025,6.5
