PERIOD,YEAR,STATS_VALUE
July,1991,2
September,1991,7.8
November,1991,10.3
December,1991,14.2
January,1992,15.5
February,1992,13.4
March,1992,11.7
April,1992,7.9
May,1992,5
July,1992,3.3
August,1992,4.2
September,1992,6
October,1992,9.2
November,1992,13
December,1992,14
January,1993,14.2
February,1993,14.4
March,1993,11.5
April,1993,9.1
May,1993,6.9
June,1993,5.6
July,1993,3.7
August,1993,4.8
September,1993,7.3
October,1993,10.6
November,1993,10.6
December,1993,13.2
January,1994,15.4
February,1994,15.4
March,1994,11.4
April,1994,10.8
May,1994,6.6
June,1994,3
July,1994,3.8
August,1994,5.8
September,1994,6.3
October,1994,9
November,1994,10.6
December,1994,14.3
January,1995,15.8
February,1995,16.1
March,1995,12.2
April,1995,9.9
May,1995,6.8
June,1995,4.1
July,1995,0.2
August,1995,4.8
September,1995,7.1
October,1995,9.5
November,1995,11
December,1995,14.3
January,1996,16.9
February,1996,15.1
March,1996,11.7
April,1996,9.4
May,1996,6.6
June,1996,3.3
July,1996,2.1
August,1996,3.8
September,1996,8.1
October,1996,10.3
November,1996,10.6
December,1996,12.9
January,1997,14.9
February,1997,15.9
March,1997,12.1
April,1997,9
May,1997,8
June,1997,4.3
July,1997,2.7
August,1997,4.8
September,1997,6.6
October,1997,10.3
November,1997,11.4
December,1997,12.8
January,1998,16.7
February,1998,17.4
March,1998,13.9
April,1998,9.4
May,1998,7.7
June,1998,3.9
July,1998,4.3
August,1998,4.3
September,1998,8.4
October,1998,10.1
November,1998,12.4
December,1998,14.8
January,1999,17.8
February,1999,18
March,1999,15.1
April,1999,9.3
May,1999,8.9
June,1999,4.2
July,1999,3.5
August,1999,5.1
September,1999,8.4
October,1999,11.4
November,1999,11.1
December,1999,13.5
January,2000,14.6
February,2000,16.3
March,2000,13.3
April,2000,10.1
May,2000,8.3
June,2000,4.6
July,2000,3.6
August,2000,5
September,2000,7.8
October,2000,9.9
November,2000,10.8
December,2000,14.9
January,2001,14.2
February,2001,16.4
March,2001,13.3
April,2001,10.7
May,2001,6.8
June,2001,4.2
July,2001,1.6
August,2001,5.6
September,2001,9
October,2001,11.4
November,2001,12.2
December,2001,15
January,2002,15.8
February,2002,15
March,2002,13.3
April,2002,9.8
May,2002,8.6
June,2002,4.5
July,2002,3.5
August,2002,5.7
September,2002,7.9
October,2002,9.1
November,2002,11.3
December,2002,14.2
January,2003,15.6
February,2003,14.2
March,2003,14.7
April,2003,8.8
May,2003,7.6
June,2003,6
July,2003,3.5
August,2003,4.8
September,2003,6.2
October,2003,9.3
November,2003,11.1
December,2003,14.7
January,2004,16.4
February,2004,12.9
March,2004,12.7
April,2004,8.7
May,2004,7.3
June,2004,5
July,2004,2
August,2004,3.2
September,2004,6.9
October,2004,9.6
November,2004,12.2
December,2004,10.8
January,2005,16.3
February,2005,17.4
March,2005,13
April,2005,9.3
May,2005,6.6
June,2005,3.4
July,2005,4.6
August,2005,6.3
September,2005,8.4
October,2005,10
December,2005,17
January,2006,15.4
February,2006,16
March,2006,11.7
April,2006,11
May,2006,6.2
June,2006,2.8
July,2006,4.1
August,2006,4.9
September,2006,9.6
October,2006,9.8
November,2006,10.6
December,2006,12.2
January,2007,16.1
February,2007,16.2
March,2007,14.5
April,2007,9.8
May,2007,9.1
June,2007,3.2
July,2007,2.6
August,2007,5.5
September,2007,7.9
October,2007,8.5
November,2007,12
December,2007,14.9
January,2008,17.3
February,2008,16
March,2008,13.9
April,2008,9.3
May,2008,4.6
June,2008,5.6
July,2008,3.7
August,2008,4.2
September,2008,8.3
October,2008,9.5
November,2008,12.1
December,2008,13.8
January,2009,15.8
February,2009,14.2
March,2009,13
April,2009,10.2
May,2009,4.8
June,2009,2.4
July,2009,2.8
August,2009,6.4
September,2009,8
October,2009,8.4
November,2009,12.4
December,2009,13.7
January,2010,15.7
February,2010,16.8
March,2010,14.2
April,2010,11.3
May,2010,6.5
June,2010,3.1
July,2010,2.8
August,2010,5.3
September,2010,7.3
October,2010,10.3
November,2010,13.8
December,2010,15.4
January,2011,15.7
February,2011,15.5
March,2011,12.7
April,2011,9.3
May,2011,8.7
June,2011,4.9
July,2011,2.8
August,2011,4.5
September,2011,7.3
October,2011,9.9
November,2011,11.8
December,2011,16.2
January,2012,15.7
February,2012,15.8
March,2012,11.8
April,2012,10.4
May,2012,6.6
June,2012,3.5
July,2012,3.3
August,2012,6
September,2012,8.3
October,2012,9.4
November,2012,11.3
December,2012,14.9
January,2013,15.7
February,2013,16.3
