PERIOD,YEAR,STATS_VALUE
September,1991,89.2
December,1991,44
January,1992,149.4
February,1992,102.6
March,1992,79.2
April,1992,68.2
May,1992,55.2
June,1992,105.2
July,1992,85.6
August,1992,136.6
September,1992,57.8
December,1992,50.4
January,1993,157
February,1993,34.8
March,1993,107.2
April,1993,79.6
May,1993,98.8
June,1993,140.6
July,1993,76
August,1993,101.4
September,1993,52.8
October,1993,159.8
November,1993,58.6
December,1993,136.6
January,1994,167.4
February,1994,131.4
March,1994,48
April,1994,255.4
May,1994,169
June,1994,174.6
July,1994,139.4
August,1994,133.8
September,1994,137.4
October,1994,96
November,1994,164
December,1994,87.2
January,1995,107
February,1995,46.6
March,1995,97.8
April,1995,58.6
May,1995,153.6
June,1995,140
August,1995,85.6
September,1995,92.2
October,1995,129
November,1995,58.6
December,1995,180.6
January,1996,74.8
February,1996,56.4
April,1996,165
May,1996,130.8
June,1996,91.2
July,1996,63.4
August,1996,107.8
September,1996,70.8
October,1996,149.4
November,1996,185.8
December,1996,97
January,1997,36.4
February,1997,142.2
March,1997,60.4
April,1997,135
May,1997,76.6
June,1997,87.4
July,1997,115.6
August,1997,105.2
September,1997,43.6
November,1997,121
December,1997,178.8
January,1998,112
February,1998,106.4
March,1998,224.8
April,1998,132.4
May,1998,90.4
June,1998,80.2
July,1998,77.8
August,1998,83.8
September,1998,121.6
October,1998,110.8
November,1998,33.2
December,1998,72.8
January,1999,114.8
February,1999,71.4
March,1999,192.8
April,1999,94
May,1999,176.8
June,1999,113.8
July,1999,142.2
August,1999,83.6
September,1999,148.6
October,1999,109.8
November,1999,129.4
December,1999,75.8
January,2000,103.4
February,2000,88.2
March,2000,98
April,2000,111.4
May,2000,189
June,2000,150.2
July,2000,73.4
August,2000,106.8
September,2000,114.4
October,2000,93.8
November,2000,70.6
December,2000,138.8
January,2001,95.2
February,2001,63.6
March,2001,79.2
April,2001,128.8
May,2001,202.2
June,2001,168.4
July,2001,76.8
August,2001,97
September,2001,103.8
October,2001,155.8
November,2001,107.2
December,2001,105.4
February,2002,160.2
March,2002,126.2
April,2002,94.2
May,2002,103.8
June,2002,192.4
July,2002,80.2
August,2002,155.6
September,2002,154.8
October,2002,123
November,2002,79.2
December,2002,112.6
January,2003,130.8
February,2003,91.2
March,2003,48
April,2003,99
May,2003,104.8
June,2003,131.6
July,2003,104
August,2003,77.8
September,2003,150
October,2003,63.2
November,2003,157.2
December,2003,96.4
January,2004,127.2
February,2004,185.2
March,2004,117.4
April,2004,105.8
May,2004,121.2
June,2004,126.8
July,2004,80.8
August,2004,91.2
September,2004,83.6
October,2004,76.6
November,2004,69.6
December,2004,165.2
January,2005,147.4
February,2005,125.4
March,2005,148.6
April,2005,82.6
May,2005,111
June,2005,78
