YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1962,91.4,,,,188.9,139.2,159.5,108,99.8,184.2,118.5,94.2,
1963,58.3,93.1,105.8,72.7,68,122.6,130.5,87.6,81.9,24.7,69.8,70.9,985.9
1964,61.8,38.9,98.2,21.9,127.8,113.3,175.5,161.2,120.6,134.1,51.9,125.2,1230.4
1965,126.5,143,88.1,94.6,102.4,137.8,149.4,215.1,39.3,74.6,88.9,91.9,1351.6
1966,116,204.6,74.7,69.9,135.6,130.7,105.5,93.2,93,50.1,133.6,90.5,1297.4
1967,101.7,231.6,125.8,37.9,43.6,68.4,74.4,90.3,103.9,20.2,233.7,111.2,1242.7
1968,42,46.7,48,225.4,150.6,153.6,83.4,153.2,79.1,97.9,64.6,113,1257.5
1969,109.9,140.8,13.6,124.4,117,88.1,111.1,97.3,97.3,35.4,33.5,126.8,1095.2
1970,36.6,15.4,72.9,48.6,125.9,110,151.3,202.6,143.2,119.3,81.1,31.9,1138.8
1971,54.8,114.9,51,94,87,68.1,115.2,113.3,128.3,114.1,85,105.2,1130.9
1972,37.9,26.4,194.4,88.8,152.1,103.9,125.6,108.4,46.6,44.1,32.2,43.8,1004.2
1973,31.2,16.8,43.1,62.4,68.5,134.7,97.7,99.2,142.6,51.3,77.6,42.2,867.3
1974,4.1,34.7,28.9,122.6,73.8,79.1,128.2,92.2,103,65.2,10.3,96,838.1
1975,119.2,21.1,123,91,101.3,196.5,64.5,83.8,88.5,95.1,85.6,40.7,1110.3
1976,184.5,51.5,34,139.8,84.3,156.9,179.3,90.6,139.6,63.7,114.8,106,1345
1977,53.4,34.6,60.5,67.6,141.2,171.6,137.6,55.1,95,72.8,57.5,98.4,1045.3
1978,22.8,25.7,22.1,143.4,47.6,108,170.4,93.1,115.5,66.8,81.3,74.2,970.9
1979,11.1,178.2,111,120.8,85.6,220.4,192.3,151.1,84.4,134.4,93.7,119.4,1502.4
1980,78.8,83,140.2,71.2,55.1,100.3,128.5,67.1,56.3,34,118,103.2,1035.7
1981,38.5,30.8,21.9,127.9,61.4,147.8,105.2,104.9,99.4,51.1,85.5,55.7,930.1
1982,28.5,69.4,70.3,145.3,82.7,82.1,77.1,35,67.2,90.3,29.9,55.3,833.1
1983,35.5,36.5,44.8,113.1,59.5,121.7,35.8,49.8,79.8,154.6,28.4,145.8,905.3
1984,97.3,96.6,194,56.7,76.5,96.9,92.6,113,82.8,16.7,121.7,117.3,1162.1
1985,83.2,216.3,96.4,87.3,163.5,88.1,135.1,101.8,70.1,56.1,110.4,138.6,1346.9
1986,206.1,140.3,37,51.4,115.3,67.3,147.2,160.3,49.2,73.9,45.1,47.2,1140.3
1987,54.8,40.6,85.1,74.9,64,100.8,86.4,61.5,102.9,93.3,79.5,99.4,943.2
1988,11.7,98.2,170,12.7,90.8,60,175.9,124.7,84.2,70,55.9,201.8,1155.9
1989,172.8,58.5,39,98.5,86.7,93.1,87,91.8,97.8,134.6,100.3,58,1118.1
1990,66.5,12.1,101.8,101,128.3,89,190.6,198.1,83,84.7,114.5,24.8,1194.4
1991,27.2,98.5,65.5,172,50.2,123.5,128.5,167.9,101.1,63.3,113,61.5,1172.2
1992,70.4,61,47.7,62.8,83.8,59.8,171.5,218.4,81.7,131.4,118.3,143.1,1249.9
1993,45.2,29.3,39.2,76.8,,,,,,,,,
1994,,,,,,,,91,207.4,137.6,36.2,22,
1995,109.2,71.6,154.8,105.8,119.2,169.2,209,93,85.4,127,87.6,94,1425.8
1996,33,44.2,103.4,157,133.2,156.2,160.8,152.6,114.8,50.2,48,140.6,1294
1997,19.6,37.2,86.6,63.4,126.6,143,48.2,71,208.4,93.6,52.2,37.2,987
1998,11.2,112.6,83.4,39.4,73.2,91.4,304.4,139.8,71.4,101.2,68.8,36.4,1133.2
1999,108.6,40,58.4,113.6,33.6,85,133.4,128.6,54.4,81,176.6,27.8,1041
2000,115.4,8.4,57.2,106.8,128.2,146.2,148.8,84.6,66,51.6,72.6,60.2,1046
2001,56.6,110.4,19.6,98.2,209.8,77,95.2,125.8,56.6,106.6,118.8,181.4,1256
2002,92,31.2,122.6,58.6,95.8,126.4,143.2,90.6,76.2,86.8,43.6,87.4,1054.4
2003,108.6,54.4,145,55.2,86,101.8,99,52.4,167,106.4,73.8,85,1134.6
2004,70.4,271.6,8.8,39.4,216.8,111.6,77.4,73,76.8,104.2,41.8,133.2,1225
2005,16,62.8,39.8,20.8,150.2,109.2,161.8,38.4,91.6,180.4,40.8,59.6,971.4
2006,79.2,6.8,64,158.4,191.2,101.2,68.6,99.2,44.4,157.8,89.3,47,1107.1
2007,59.8,37.6,132.6,59,12,81.4,167.8,96.6,60.8,75.8,44.4,65.2,893
2008,15,45.4,31,102.2,113.6,158.8,215.2,168.7,38.6,90.7,46,101.6,1126.8
2009,31.6,121.7,35,40.9,152.2,89.2,113.2,71.7,81.2,91,22.2,83,932.9
2010,44,4.6,7.6,56,162.8,160.8,87,187.4,112,19.8,22.3,94.4,958.7
2011,184.1,28.2,139.6,152.3,150.4,144.4,103.8,43.5,86.2,115.2,50.2,192.2,1390.1
2012,56.2,116.8,145.2,23.4,82,88,141.2,132.8,107.6,69.2,31,69.8,1063.2
2013,9.2,25.2,39.8,107.4,238,158.6,46.4,147.6,135,33.6,,115,
2014,42,11,25.2,107.8,79.6,182.6,92.4,139.6,174.8,91.2,58.8,64.6,1069.6
2015,13.6,38,73.2,,123.4,88.8,190.4,145.8,107.2,43.6,81,26.8,
2016,128.2,100,26.8,32.4,153.2,124.6,130,79.8,175.2,65,80.8,32.8,1128.8
2017,34.6,60.4,260.8,178,107.8,47.6,178,116.8,98,75.8,23,7.6,1188.4
2018,65.6,148.8,56.4,157,97.4,194.8,124.2,115,46.4,76.9,98,206,1386.5
2019,31.6,20.6,53.2,67.2,63.4,85.2,146,189.4,126.4,68.6,,51,
2020,7.8,14.4,40.4,32.6,105.2,161.2,91.8,121,44,,105.8,36.2,
2021,40.6,49.2,49.2,65.6,67,102.4,87.6,90.6,112.2,104.8,36.8,,
2022,8.8,63.2,121.4,34,,147,257.2,156.4,114,106.6,165.4,107,
2023,419.6,205.2,47.6,94,270.8,117,98,68,133.4,59.6,,146.8,
2024,28.4,43.8,68.6,81.6,141.2,117.4,115.8,,80,116,,64.4,
2025,38.4,7,,223.4,,,,,,,,,
