PERIOD,YEAR,STATS_VALUE
January,1962,91.4
May,1962,188.9
June,1962,139.2
July,1962,159.5
August,1962,108
September,1962,99.8
October,1962,184.2
November,1962,118.5
December,1962,94.2
January,1963,58.3
February,1963,93.1
March,1963,105.8
April,1963,72.7
May,1963,68
June,1963,122.6
July,1963,130.5
August,1963,87.6
September,1963,81.9
October,1963,24.7
November,1963,69.8
December,1963,70.9
January,1964,61.8
February,1964,38.9
March,1964,98.2
April,1964,21.9
May,1964,127.8
June,1964,113.3
July,1964,175.5
August,1964,161.2
September,1964,120.6
October,1964,134.1
November,1964,51.9
December,1964,125.2
January,1965,126.5
February,1965,143
March,1965,88.1
April,1965,94.6
May,1965,102.4
June,1965,137.8
July,1965,149.4
August,1965,215.1
September,1965,39.3
October,1965,74.6
November,1965,88.9
December,1965,91.9
January,1966,116
February,1966,204.6
March,1966,74.7
April,1966,69.9
May,1966,135.6
June,1966,130.7
July,1966,105.5
August,1966,93.2
September,1966,93
October,1966,50.1
November,1966,133.6
December,1966,90.5
January,1967,101.7
February,1967,231.6
March,1967,125.8
April,1967,37.9
May,1967,43.6
June,1967,68.4
July,1967,74.4
August,1967,90.3
September,1967,103.9
October,1967,20.2
November,1967,233.7
December,1967,111.2
January,1968,42
February,1968,46.7
March,1968,48
April,1968,225.4
May,1968,150.6
June,1968,153.6
July,1968,83.4
August,1968,153.2
September,1968,79.1
October,1968,97.9
November,1968,64.6
December,1968,113
January,1969,109.9
February,1969,140.8
March,1969,13.6
April,1969,124.4
May,1969,117
June,1969,88.1
July,1969,111.1
August,1969,97.3
September,1969,97.3
October,1969,35.4
November,1969,33.5
December,1969,126.8
January,1970,36.6
February,1970,15.4
March,1970,72.9
April,1970,48.6
May,1970,125.9
June,1970,110
July,1970,151.3
August,1970,202.6
September,1970,143.2
October,1970,119.3
November,1970,81.1
December,1970,31.9
January,1971,54.8
February,1971,114.9
March,1971,51
April,1971,94
May,1971,87
June,1971,68.1
July,1971,115.2
August,1971,113.3
September,1971,128.3
October,1971,114.1
November,1971,85
December,1971,105.2
January,1972,37.9
February,1972,26.4
March,1972,194.4
April,1972,88.8
May,1972,152.1
June,1972,103.9
July,1972,125.6
August,1972,108.4
September,1972,46.6
October,1972,44.1
November,1972,32.2
December,1972,43.8
January,1973,31.2
February,1973,16.8
March,1973,43.1
April,1973,62.4
May,1973,68.5
June,1973,134.7
July,1973,97.7
August,1973,99.2
September,1973,142.6
October,1973,51.3
November,1973,77.6
December,1973,42.2
January,1974,4.1
February,1974,34.7
March,1974,28.9
April,1974,122.6
May,1974,73.8
June,1974,79.1
July,1974,128.2
