YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1949,,,293.9,322.7,383,194.9,410.1,217.4,173,745.4,130.1,435.2,
1950,543.5,91.5,193.3,136,450.6,180.7,475.3,253,358.9,143.8,221.9,521.1,3569.6
1951,40.9,212.5,175.3,337.9,151.6,72.9,433.9,194.8,323.9,322.6,540.8,266.2,3073.3
1952,349.3,565.5,194.3,226.8,385.2,389.2,109.1,12,172.7,341.9,241.4,164.1,3151.5
1953,72.9,260.9,201.1,378.3,292.5,155.3,252,321.4,343.7,190.6,620.6,483.7,3573
1954,163.6,535.4,268.6,142.4,169.7,402,186.8,229.6,69.3,216.6,424,194.8,3002.8
1955,313.5,494.5,186.4,219.8,502.2,223.9,92.6,329,141,351.4,249.6,193.9,3297.8
1956,407.7,177.7,242.6,436.2,277.3,398.6,221.7,240.4,103.7,294.1,460.5,291,3551.5
1957,237.1,195.9,230.6,431.3,356.7,317.8,174.7,305.7,180.2,529.2,443.8,606.7,4009.7
1958,660.6,649,660.2,348.2,710,160.1,292.6,323.9,211.2,481.7,185,372.5,5055
1959,73,179.7,223.9,233.7,387.1,239.8,179.8,96.9,463.4,129.7,434.6,294.3,2935.9
1960,377.3,348.3,306.1,118.7,317.9,279.5,346.3,160.2,325.8,243.3,282.3,78.4,3184.1
1961,95.3,420.8,416.3,365.7,172.4,289.8,259.2,123.6,230.7,386.5,517.6,231.4,3509.3
1962,303.1,180.6,111.1,168.8,443.7,237.6,522.7,273.9,274.1,548.8,271.2,172.7,3508.3
1963,295.7,601.4,456.4,108.9,363,230.7,136.5,380.6,234.2,211.4,292.2,173.2,3484.2
1964,584.4,154.6,363.3,198.4,337.4,50.4,353.2,432.1,350.8,232.6,276.9,237.8,3571.9
1965,527.8,303.9,329.9,197.6,383.8,262.8,144,165.1,467.3,287.1,482,435.7,3987
1966,260.6,448.4,293.2,272.3,52.3,298.1,123.6,183.4,300.9,167.6,417.2,392.2,3209.8
1967,588.3,163.3,628.9,557.7,305.8,69.6,470.8,523.1,199,346.4,768.9,351.3,4973.1
1968,208.1,503.7,297,329.7,508.3,216.6,141.7,554.3,357,481.6,439.9,74.4,4112.3
1969,170.6,115.1,278.3,315.9,191.8,215.6,143.3,210.6,701.5,204.5,111,434,3092.2
1970,429.5,207.5,348.9,197.5,88.1,246,278.3,504.4,696.7,455.4,242.2,239.9,3934.4
1971,142.7,111.4,146.5,146.4,328.1,400,135.6,308.3,254.6,494.8,222.7,187.6,2878.7
1972,206.3,66.7,514.4,355.4,274.5,141.2,277.9,239.1,348,410.9,397.4,243.2,3475
1973,212.2,96.8,246.3,418.2,427.7,217.8,69.8,418.3,171.4,355.3,468.8,270.3,3372.9
