PERIOD,YEAR,STATS_VALUE
March,1949,293.9
April,1949,322.7
May,1949,383
June,1949,194.9
July,1949,410.1
August,1949,217.4
September,1949,173
October,1949,745.4
November,1949,130.1
December,1949,435.2
January,1950,543.5
February,1950,91.5
March,1950,193.3
April,1950,136
May,1950,450.6
June,1950,180.7
July,1950,475.3
August,1950,253
September,1950,358.9
October,1950,143.8
November,1950,221.9
December,1950,521.1
January,1951,40.9
February,1951,212.5
March,1951,175.3
April,1951,337.9
May,1951,151.6
June,1951,72.9
July,1951,433.9
August,1951,194.8
September,1951,323.9
October,1951,322.6
November,1951,540.8
December,1951,266.2
January,1952,349.3
February,1952,565.5
March,1952,194.3
April,1952,226.8
May,1952,385.2
June,1952,389.2
July,1952,109.1
August,1952,12
September,1952,172.7
October,1952,341.9
November,1952,241.4
December,1952,164.1
January,1953,72.9
February,1953,260.9
March,1953,201.1
April,1953,378.3
May,1953,292.5
June,1953,155.3
July,1953,252
August,1953,321.4
September,1953,343.7
October,1953,190.6
November,1953,620.6
December,1953,483.7
January,1954,163.6
February,1954,535.4
March,1954,268.6
April,1954,142.4
May,1954,169.7
June,1954,402
July,1954,186.8
August,1954,229.6
September,1954,69.3
October,1954,216.6
November,1954,424
December,1954,194.8
January,1955,313.5
February,1955,494.5
March,1955,186.4
April,1955,219.8
May,1955,502.2
June,1955,223.9
July,1955,92.6
August,1955,329
September,1955,141
October,1955,351.4
November,1955,249.6
December,1955,193.9
January,1956,407.7
February,1956,177.7
March,1956,242.6
April,1956,436.2
May,1956,277.3
June,1956,398.6
July,1956,221.7
August,1956,240.4
September,1956,103.7
October,1956,294.1
November,1956,460.5
December,1956,291
January,1957,237.1
February,1957,195.9
March,1957,230.6
April,1957,431.3
May,1957,356.7
June,1957,317.8
July,1957,174.7
August,1957,305.7
September,1957,180.2
October,1957,529.2
November,1957,443.8
December,1957,606.7
January,1958,660.6
February,1958,649
March,1958,660.2
April,1958,348.2
May,1958,710
June,1958,160.1
July,1958,292.6
August,1958,323.9
September,1958,211.2
October,1958,481.7
November,1958,185
December,1958,372.5
January,1959,73
February,1959,179.7
March,1959,223.9
April,1959,233.7
May,1959,387.1
June,1959,239.8
July,1959,179.8
August,1959,96.9
September,1959,463.4
October,1959,129.7
November,1959,434.6
December,1959,294.3
January,1960,377.3
February,1960,348.3
March,1960,306.1
April,1960,118.7
May,1960,317.9
June,1960,279.5
July,1960,346.3
August,1960,160.2
September,1960,325.8
October,1960,243.3
November,1960,282.3
December,1960,78.4
January,1961,95.3
February,1961,420.8
March,1961,416.3
April,1961,365.7
May,1961,172.4
June,1961,289.8
July,1961,259.2
August,1961,123.6
September,1961,230.7
October,1961,386.5
November,1961,517.6
December,1961,231.4
January,1962,303.1
February,1962,180.6
March,1962,111.1
April,1962,168.8
May,1962,443.7
June,1962,237.6
July,1962,522.7
August,1962,273.9
September,1962,274.1
October,1962,548.8
November,1962,271.2
December,1962,172.7
January,1963,295.7
February,1963,601.4
March,1963,456.4
April,1963,108.9
May,1963,363
June,1963,230.7
July,1963,136.5
August,1963,380.6
September,1963,234.2
October,1963,211.4
November,1963,292.2
December,1963,173.2
January,1964,584.4
February,1964,154.6
March,1964,363.3
April,1964,198.4
May,1964,337.4
June,1964,50.4
July,1964,353.2
August,1964,432.1
September,1964,350.8
October,1964,232.6
November,1964,276.9
December,1964,237.8
January,1965,527.8
February,1965,303.9
March,1965,329.9
April,1965,197.6
May,1965,383.8
June,1965,262.8
July,1965,144
August,1965,165.1
September,1965,467.3
October,1965,287.1
November,1965,482
December,1965,435.7
January,1966,260.6
February,1966,448.4
March,1966,293.2
April,1966,272.3
May,1966,52.3
June,1966,298.1
July,1966,123.6
August,1966,183.4
September,1966,300.9
October,1966,167.6
November,1966,417.2
December,1966,392.2
January,1967,588.3
February,1967,163.3
March,1967,628.9
April,1967,557.7
May,1967,305.8
June,1967,69.6
July,1967,470.8
August,1967,523.1
September,1967,199
October,1967,346.4
November,1967,768.9
December,1967,351.3
January,1968,208.1
February,1968,503.7
March,1968,297
April,1968,329.7
May,1968,508.3
June,1968,216.6
July,1968,141.7
August,1968,554.3
September,1968,357
October,1968,481.6
November,1968,439.9
December,1968,74.4
January,1969,170.6
February,1969,115.1
March,1969,278.3
April,1969,315.9
May,1969,191.8
June,1969,215.6
July,1969,143.3
August,1969,210.6
September,1969,701.5
October,1969,204.5
November,1969,111
December,1969,434
January,1970,429.5
February,1970,207.5
March,1970,348.9
April,1970,197.5
May,1970,88.1
June,1970,246
