YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1948,129,28.7,37.8,157.3,263.6,79.8,150.9,100.5,68,183.7,119.7,60.3,1379.3
1949,84,49.7,85.7,93.8,262,154.7,99,61.7,129.5,61.2,76.6,125.3,1283.2
1950,41.1,191.4,16.3,94.7,107.2,156.6,69.7,161.3,65.2,87.2,97.1,68.3,1156.1
1951,92.6,55.7,61.2,97.3,69,48,289.7,62.9,21.9,137.7,133,117.9,1186.9
1952,57.8,104.7,58.9,51.8,70.6,281.5,50.5,117.7,92.7,174.6,300.2,171,1532
1953,141.1,136.2,45.9,155.4,114.8,192.4,200.9,106.8,66,147.6,84.1,71.7,1462.9
1954,30.1,46.7,152.1,114.3,91.7,85.7,131.6,91.8,47.1,50.4,58.7,137.6,1037.8
1955,16.6,54.3,,,,,,,,,,,
1956,184.7,51.6,46,213,205.5,239.3,180,157.5,77.6,159.3,148.9,172.9,1836.3
1957,17.5,43.7,197.7,36.7,147.5,98.5,103,93.8,67.5,167.3,122.2,116.1,1211.5
1958,41.7,205.9,62.3,38.4,135.7,39,130.1,131.3,45.6,228,92.9,220.6,1371.5
1959,119.4,85.1,118.3,272.8,137,50.3,104.2,70.7,78,166.8,58.5,62.8,1323.9
1960,94.7,167.1,62.6,30.9,130.7,121.7,198.3,66.7,189.2,67.2,87.5,29.8,1246.4
1961,123.8,41.7,43.2,136.9,61.5,141.8,109.2,79.8,128.2,71,58.7,79.1,1074.9
1962,104.8,68.4,221.9,185,182.9,201.6,77.4,166.7,140.9,194.6,112.8,274.4,1931.4
1963,71,43.7,76.2,18.2,94.4,122.4,232.1,93.4,81.3,22.3,40,110,1005
1964,73.5,85.6,98.6,42.7,45.2,153.4,145.1,79.2,171.2,111.9,60,64.3,1130.7
1965,209.3,174,142.2,92.9,90.6,86.5,100.3,101.2,19,44.7,112.8,110.1,1283.6
1966,182.2,214.8,81.7,115.2,69.1,260.2,241.2,108.7,81.8,50.3,129,112.6,1646.8
1967,102,227.9,116.8,42.5,90.9,66.7,59.9,173.3,122.7,59.3,253.4,154,1469.4
1968,41.4,44.9,46.4,125.9,184.7,217.8,54.3,187.3,89.9,105.1,49.5,97,1244.2
1969,139.2,80.1,28.4,81.8,73.8,114,46.5,61.1,202.3,28.8,96.7,181.8,1134.5
1970,14.5,17.4,103.8,50.5,113.5,151.9,52.9,214.7,202.2,100.8,119.4,53.5,1195.1
1971,96.3,183.3,98,52.7,160.4,124.3,53.7,117.2,239.6,139.3,160.6,94.8,1520.2
1972,54.5,54.1,244.7,53.1,82.6,72.1,131.2,145.9,64.9,88.5,83.7,92,1167.3
1973,131.6,22.4,19.6,151.7,102.5,114.6,31.8,106.1,184.6,53,93,88.5,1099.4
1974,7.9,69.3,57.6,203.7,107.4,158.1,202.9,128.4,114.5,113.5,26.5,219,1408.8
1975,139.8,34.1,67.8,88.7,167.9,128.6,99,174.6,52.5,120.1,91.6,85,1249.7
1976,120.7,115.8,55.3,123.8,57.6,98.7,144.5,154.5,101.7,128.5,114.4,82,1297.5
1977,99.8,82.6,109,60.2,135.7,163.9,195.4,121.2,84.4,97.2,74.9,142.6,1366.9
1978,6.3,39.8,22,161.3,27.1,67,197.7,67,97,87.3,89.6,100.9,963
1979,22.9,192.5,336.8,115.3,128.3,62.9,130.2,137.6,117.6,211.5,138.9,132.7,1727.2
1980,183.1,64.4,105.6,125.2,37.1,159.9,76.9,163.7,95,69.8,163.5,152,1396.2
1981,116.7,59.8,41.3,,,,,,63.2,79.1,147.7,116.7,
1982,54.8,97.2,108,66.9,63.9,101.8,66.3,38.3,75.5,84.8,37.1,105.4,900
1983,49.5,38.5,26.4,128.9,111.4,120.7,54.7,80.5,116.5,280.9,42.9,49.6,1100.5
1984,63.9,113.6,106.5,56.8,64.2,76.6,142,93.8,118.9,33.5,68.6,210.1,1148.5
1985,116.3,66.2,88.5,61.3,47.2,169.1,101.6,62,71.8,65.7,56.1,128.7,1034.5
1986,229.9,66.4,17.6,61.6,103.7,57,167.7,135.7,99,73.5,53.5,21.7,1087.3
1987,127.1,25.2,200,110.5,91.8,70.7,36.4,73.7,66.2,93.9,77.8,113,1086.3
1988,14,171.4,96.3,25.4,120.7,89.5,129.2,183.4,96.2,125.8,147.7,120,1319.6
1989,98.9,43.7,84.8,37.4,146.7,131.4,96.1,120.9,131.9,220.8,101.2,82.6,1296.4
1990,63.5,63.5,107.4,128.2,144.4,79.3,112.6,217,48.9,182.3,136.7,21.7,1305.5
1991,123.8,96.6,46.8,96.4,38.9,90.4,123.7,175.9,170.9,83.6,70.6,108.4,1226
1992,87.1,110.3,56.6,71.7,53.5,113.6,179.1,170.7,85.1,126.7,124.3,217.2,1395.9
1993,27.3,51.2,124,55.9,132.4,188,27.7,64.2,48,89.1,126.1,95.1,1029
1994,40,75.8,50.2,158,144.6,136.1,189.6,140,175.1,129.3,70.9,38.6,1348.2
1995,95.3,85.1,183.9,176.3,111.7,163.3,261.7,79.3,141.9,142.3,102.3,163.4,1706.5
1996,105.1,155.5,150.7,166.3,167.9,93.4,174.1,140.4,133.3,85.4,101.3,109.7,1583.1
1997,21.2,80.9,139.2,116.2,143.7,141.8,111.3,92.4,149.6,91.8,106.5,61,1255.6
1998,36.5,99.2,85.7,93.7,141.8,166.9,308.9,174.6,46.9,150.2,70,86.2,1460.6
1999,104.2,16.6,53.9,95.4,85.2,103.6,138.6,75.5,118.9,32.2,174,75,1073.1
2000,101.6,2.3,38.2,110.1,71.3,104.4,123.7,137.6,107.2,94,68.6,149,1108
2001,47.3,164,95.5,85.4,202.3,38.6,51.5,57.8,52.9,122.7,164.9,197.2,1280.1
2002,92.7,29.3,63.5,119.5,92.6,153.8,143.3,97.8,80.8,70.4,82.2,130.8,1156.7
2003,78.8,25.4,103.8,65.7,80,153.2,30.6,50.3,186.3,92.2,138.9,213.2,1218.4
2004,83.8,210.9,21.2,37,131.1,184.3,172.3,98.3,86.9,146.1,74.5,152.6,1399
2005,48.3,67.5,118.1,26.8,200,89.4,133,99.4,112.4,257.2,32.3,204.8,1389.2
