PERIOD,YEAR,STATS_VALUE
January,1948,129
February,1948,28.7
March,1948,37.8
April,1948,157.3
May,1948,263.6
June,1948,79.8
July,1948,150.9
August,1948,100.5
September,1948,68
October,1948,183.7
November,1948,119.7
December,1948,60.3
January,1949,84
February,1949,49.7
March,1949,85.7
April,1949,93.8
May,1949,262
June,1949,154.7
July,1949,99
August,1949,61.7
September,1949,129.5
October,1949,61.2
November,1949,76.6
December,1949,125.3
January,1950,41.1
February,1950,191.4
March,1950,16.3
April,1950,94.7
May,1950,107.2
June,1950,156.6
July,1950,69.7
August,1950,161.3
September,1950,65.2
October,1950,87.2
November,1950,97.1
December,1950,68.3
January,1951,92.6
February,1951,55.7
March,1951,61.2
April,1951,97.3
May,1951,69
June,1951,48
July,1951,289.7
August,1951,62.9
September,1951,21.9
October,1951,137.7
November,1951,133
December,1951,117.9
January,1952,57.8
February,1952,104.7
March,1952,58.9
April,1952,51.8
May,1952,70.6
June,1952,281.5
July,1952,50.5
August,1952,117.7
September,1952,92.7
October,1952,174.6
November,1952,300.2
December,1952,171
January,1953,141.1
February,1953,136.2
March,1953,45.9
April,1953,155.4
May,1953,114.8
June,1953,192.4
July,1953,200.9
August,1953,106.8
September,1953,66
October,1953,147.6
November,1953,84.1
December,1953,71.7
January,1954,30.1
February,1954,46.7
March,1954,152.1
April,1954,114.3
May,1954,91.7
June,1954,85.7
July,1954,131.6
August,1954,91.8
September,1954,47.1
October,1954,50.4
November,1954,58.7
December,1954,137.6
January,1955,16.6
February,1955,54.3
January,1956,184.7
February,1956,51.6
March,1956,46
April,1956,213
May,1956,205.5
June,1956,239.3
July,1956,180
August,1956,157.5
September,1956,77.6
October,1956,159.3
November,1956,148.9
December,1956,172.9
January,1957,17.5
February,1957,43.7
March,1957,197.7
April,1957,36.7
May,1957,147.5
June,1957,98.5
July,1957,103
August,1957,93.8
September,1957,67.5
October,1957,167.3
November,1957,122.2
December,1957,116.1
January,1958,41.7
February,1958,205.9
March,1958,62.3
April,1958,38.4
May,1958,135.7
June,1958,39
July,1958,130.1
August,1958,131.3
September,1958,45.6
October,1958,228
November,1958,92.9
December,1958,220.6
January,1959,119.4
February,1959,85.1
March,1959,118.3
April,1959,272.8
May,1959,137
June,1959,50.3
July,1959,104.2
August,1959,70.7
September,1959,78
October,1959,166.8
November,1959,58.5
December,1959,62.8
January,1960,94.7
February,1960,167.1
March,1960,62.6
April,1960,30.9
May,1960,130.7
June,1960,121.7
July,1960,198.3
August,1960,66.7
September,1960,189.2
October,1960,67.2
November,1960,87.5
December,1960,29.8
January,1961,123.8
February,1961,41.7
March,1961,43.2
April,1961,136.9
May,1961,61.5
June,1961,141.8
July,1961,109.2
August,1961,79.8
September,1961,128.2
October,1961,71
November,1961,58.7
December,1961,79.1
January,1962,104.8
February,1962,68.4
March,1962,221.9
April,1962,185
May,1962,182.9
June,1962,201.6
July,1962,77.4
August,1962,166.7
September,1962,140.9
October,1962,194.6
November,1962,112.8
December,1962,274.4
January,1963,71
February,1963,43.7
March,1963,76.2
April,1963,18.2
May,1963,94.4
June,1963,122.4
July,1963,232.1
August,1963,93.4
September,1963,81.3
October,1963,22.3
November,1963,40
December,1963,110
January,1964,73.5
February,1964,85.6
March,1964,98.6
April,1964,42.7
May,1964,45.2
June,1964,153.4
July,1964,145.1
August,1964,79.2
September,1964,171.2
October,1964,111.9
November,1964,60
December,1964,64.3
January,1965,209.3
February,1965,174
March,1965,142.2
April,1965,92.9
May,1965,90.6
June,1965,86.5
July,1965,100.3
August,1965,101.2
September,1965,19
October,1965,44.7
November,1965,112.8
December,1965,110.1
January,1966,182.2
February,1966,214.8
March,1966,81.7
April,1966,115.2
May,1966,69.1
June,1966,260.2
July,1966,241.2
August,1966,108.7
September,1966,81.8
October,1966,50.3
November,1966,129
December,1966,112.6
January,1967,102
February,1967,227.9
March,1967,116.8
April,1967,42.5
May,1967,90.9
June,1967,66.7
July,1967,59.9
August,1967,173.3
September,1967,122.7
October,1967,59.3
November,1967,253.4
December,1967,154
January,1968,41.4
February,1968,44.9
March,1968,46.4
April,1968,125.9
May,1968,184.7
June,1968,217.8
July,1968,54.3
August,1968,187.3
September,1968,89.9
October,1968,105.1
November,1968,49.5
December,1968,97
January,1969,139.2
February,1969,80.1
March,1969,28.4
April,1969,81.8
May,1969,73.8
June,1969,114
July,1969,46.5
August,1969,61.1
September,1969,202.3
October,1969,28.8
November,1969,96.7
December,1969,181.8
January,1970,14.5
February,1970,17.4
March,1970,103.8
April,1970,50.5
May,1970,113.5
June,1970,151.9
July,1970,52.9
August,1970,214.7
September,1970,202.2
October,1970,100.8
November,1970,119.4
December,1970,53.5
January,1971,96.3
February,1971,183.3
March,1971,98
April,1971,52.7
May,1971,160.4
June,1971,124.3
July,1971,53.7
August,1971,117.2
September,1971,239.6
October,1971,139.3
November,1971,160.6
December,1971,94.8
January,1972,54.5
February,1972,54.1
March,1972,244.7
April,1972,53.1
May,1972,82.6
June,1972,72.1
July,1972,131.2
August,1972,145.9
September,1972,64.9
October,1972,88.5
November,1972,83.7
December,1972,92
January,1973,131.6
February,1973,22.4
March,1973,19.6
April,1973,151.7
May,1973,102.5
June,1973,114.6
July,1973,31.8
August,1973,106.1
September,1973,184.6
October,1973,53
November,1973,93
December,1973,88.5
January,1974,7.9
February,1974,69.3
March,1974,57.6
April,1974,203.7
May,1974,107.4
June,1974,158.1
July,1974,202.9
August,1974,128.4
September,1974,114.5
October,1974,113.5
November,1974,26.5
December,1974,219
January,1975,139.8
February,1975,34.1
March,1975,67.8
April,1975,88.7
May,1975,167.9
June,1975,128.6
July,1975,99
August,1975,174.6
September,1975,52.5
October,1975,120.1
November,1975,91.6
December,1975,85
January,1976,120.7
February,1976,115.8
March,1976,55.3
April,1976,123.8
May,1976,57.6
June,1976,98.7
July,1976,144.5
August,1976,154.5
September,1976,101.7
October,1976,128.5
November,1976,114.4
December,1976,82
January,1977,99.8
February,1977,82.6
March,1977,109
April,1977,60.2
May,1977,135.7
June,1977,163.9
July,1977,195.4
August,1977,121.2
September,1977,84.4
October,1977,97.2
November,1977,74.9
December,1977,142.6
January,1978,6.3
February,1978,39.8
March,1978,22
April,1978,161.3
May,1978,27.1
June,1978,67
July,1978,197.7
August,1978,67
September,1978,97
October,1978,87.3
November,1978,89.6
December,1978,100.9
January,1979,22.9
February,1979,192.5
March,1979,336.8
April,1979,115.3
May,1979,128.3
June,1979,62.9
July,1979,130.2
August,1979,137.6
September,1979,117.6
October,1979,211.5
November,1979,138.9
December,1979,132.7
January,1980,183.1
February,1980,64.4
March,1980,105.6
April,1980,125.2
May,1980,37.1
June,1980,159.9
July,1980,76.9
August,1980,163.7
September,1980,95
October,1980,69.8
November,1980,163.5
December,1980,152
January,1981,116.7
February,1981,59.8
March,1981,41.3
September,1981,63.2
October,1981,79.1
November,1981,147.7
December,1981,116.7
January,1982,54.8
February,1982,97.2
March,1982,108
April,1982,66.9
May,1982,63.9
June,1982,101.8
July,1982,66.3
August,1982,38.3
September,1982,75.5
October,1982,84.8
November,1982,37.1
December,1982,105.4
January,1983,49.5
February,1983,38.5
March,1983,26.4
April,1983,128.9
May,1983,111.4
June,1983,120.7
July,1983,54.7
August,1983,80.5
September,1983,116.5
October,1983,280.9
November,1983,42.9
December,1983,49.6
January,1984,63.9
February,1984,113.6
March,1984,106.5
April,1984,56.8
May,1984,64.2
June,1984,76.6
July,1984,142
August,1984,93.8
September,1984,118.9
October,1984,33.5
November,1984,68.6
December,1984,210.1
January,1985,116.3
February,1985,66.2
March,1985,88.5
April,1985,61.3
May,1985,47.2
June,1985,169.1
July,1985,101.6
August,1985,62
September,1985,71.8
October,1985,65.7
November,1985,56.1
December,1985,128.7
January,1986,229.9
February,1986,66.4
March,1986,17.6
April,1986,61.6
May,1986,103.7
June,1986,57
July,1986,167.7
August,1986,135.7
September,1986,99
October,1986,73.5
November,1986,53.5
December,1986,21.7
January,1987,127.1
February,1987,25.2
March,1987,200
April,1987,110.5
May,1987,91.8
June,1987,70.7
July,1987,36.4
August,1987,73.7
September,1987,66.2
October,1987,93.9
November,1987,77.8
December,1987,113
January,1988,14
February,1988,171.4
March,1988,96.3
April,1988,25.4
May,1988,120.7
June,1988,89.5
July,1988,129.2
August,1988,183.4
September,1988,96.2
October,1988,125.8
November,1988,147.7
December,1988,120
January,1989,98.9
February,1989,43.7
March,1989,84.8
April,1989,37.4
May,1989,146.7
June,1989,131.4
July,1989,96.1
August,1989,120.9
September,1989,131.9
October,1989,220.8
November,1989,101.2
December,1989,82.6
January,1990,63.5
February,1990,63.5
March,1990,107.4
April,1990,128.2
May,1990,144.4
June,1990,79.3
July,1990,112.6
August,1990,217
September,1990,48.9
October,1990,182.3
November,1990,136.7
December,1990,21.7
January,1991,123.8
February,1991,96.6
March,1991,46.8
April,1991,96.4
May,1991,38.9
June,1991,90.4
July,1991,123.7
August,1991,175.9
September,1991,170.9
October,1991,83.6
November,1991,70.6
December,1991,108.4
January,1992,87.1
February,1992,110.3
March,1992,56.6
April,1992,71.7
May,1992,53.5
June,1992,113.6
July,1992,179.1
August,1992,170.7
September,1992,85.1
