YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1954,,,,,,,,,,119.6,347.2,357.3,
1955,74,419.5,134.4,217.1,485.3,373.4,312.8,512.9,264.6,513.9,204.6,277.9,3790.4
1956,658.4,151.3,141.9,528.3,297.2,460.3,396,307.3,184.6,409.5,312.2,253.5,4100.5
1957,56.7,234.1,286.2,330.2,531.9,277.2,218.1,113.6,188,471.3,587.9,405.3,3700.5
1958,298.3,298.1,148.6,218.9,417.8,424.9,466.7,349.2,65,277.7,234.2,619,3818.4
1959,349.5,262.1,262.3,234.8,275.3,158.1,231.6,119.5,319.3,235.6,221.2,265.7,2935
1960,124,149.1,348.7,37.4,465.8,334.5,523.4,250.4,339.1,135.6,178.6,55.4,2942
1961,151.4,187.4,216,208.6,239.3,223.2,351.5,139.2,214.3,142.8,211.4,55.9,2341
1962,406.8,121,206.9,311.7,440.4,337,288.5,423.7,145.7,578.1,342.4,147.8,3750
1963,196.2,450.6,128.4,82.8,291.5,291.6,250.6,264.4,197.6,63.9,201.2,143.9,2562.7
1964,272.5,133.8,245.4,120.1,260.4,186.1,511.5,332,551.6,202.3,209.7,344.4,3369.8
1965,220.7,230.6,199.2,121.8,202.3,308.9,314.2,295.1,109.5,246.3,526.3,248,3022.9
1966,342.5,223.9,240.9,392.4,167.7,392.4,372.2,195.2,376.2,200.1,279.4,382.4,3565.3
1967,218.9,184.2,220.3,258.9,229.9,279.6,263.1,609.5,158.2,183.2,375.9,311.4,3293.1
1968,140.6,122.9,151.9,357.9,432.8,370.2,150.3,258.7,207.3,328.4,281,351.6,3153.6
1969,420.3,290.5,94.8,195,327.2,213.9,166.7,290.6,297.3,167.5,111.6,256.8,2832.2
1970,133.9,82.1,302.9,210.9,287,486.5,398.9,491.7,569.5,324,98.5,157.7,3543.6
1971,316.3,624.3,100.7,160.7,378.3,374,105.2,422.5,395.9,452.7,252.5,268.5,3851.6
1972,235.5,180.4,380.2,280,347.6,219.5,298.3,299.3,233.5,207.7,167.9,146.1,2996
