PERIOD,YEAR,STATS_VALUE
October,1954,119.6
November,1954,347.2
December,1954,357.3
January,1955,74
February,1955,419.5
March,1955,134.4
April,1955,217.1
May,1955,485.3
June,1955,373.4
July,1955,312.8
August,1955,512.9
September,1955,264.6
October,1955,513.9
November,1955,204.6
December,1955,277.9
January,1956,658.4
February,1956,151.3
March,1956,141.9
April,1956,528.3
May,1956,297.2
June,1956,460.3
July,1956,396
August,1956,307.3
September,1956,184.6
October,1956,409.5
November,1956,312.2
December,1956,253.5
January,1957,56.7
February,1957,234.1
March,1957,286.2
April,1957,330.2
May,1957,531.9
June,1957,277.2
July,1957,218.1
August,1957,113.6
September,1957,188
October,1957,471.3
November,1957,587.9
December,1957,405.3
January,1958,298.3
February,1958,298.1
March,1958,148.6
April,1958,218.9
May,1958,417.8
June,1958,424.9
July,1958,466.7
August,1958,349.2
September,1958,65
October,1958,277.7
November,1958,234.2
December,1958,619
January,1959,349.5
February,1959,262.1
March,1959,262.3
April,1959,234.8
May,1959,275.3
June,1959,158.1
July,1959,231.6
August,1959,119.5
September,1959,319.3
October,1959,235.6
November,1959,221.2
December,1959,265.7
January,1960,124
February,1960,149.1
March,1960,348.7
April,1960,37.4
May,1960,465.8
June,1960,334.5
July,1960,523.4
August,1960,250.4
September,1960,339.1
October,1960,135.6
November,1960,178.6
December,1960,55.4
January,1961,151.4
February,1961,187.4
March,1961,216
April,1961,208.6
May,1961,239.3
June,1961,223.2
July,1961,351.5
August,1961,139.2
September,1961,214.3
October,1961,142.8
November,1961,211.4
December,1961,55.9
January,1962,406.8
February,1962,121
March,1962,206.9
April,1962,311.7
May,1962,440.4
June,1962,337
July,1962,288.5
August,1962,423.7
September,1962,145.7
October,1962,578.1
November,1962,342.4
December,1962,147.8
January,1963,196.2
February,1963,450.6
March,1963,128.4
April,1963,82.8
May,1963,291.5
June,1963,291.6
July,1963,250.6
August,1963,264.4
September,1963,197.6
October,1963,63.9
November,1963,201.2
December,1963,143.9
January,1964,272.5
February,1964,133.8
March,1964,245.4
April,1964,120.1
May,1964,260.4
June,1964,186.1
July,1964,511.5
August,1964,332
September,1964,551.6
October,1964,202.3
November,1964,209.7
December,1964,344.4
January,1965,220.7
February,1965,230.6
March,1965,199.2
April,1965,121.8
May,1965,202.3
June,1965,308.9
July,1965,314.2
August,1965,295.1
September,1965,109.5
October,1965,246.3
November,1965,526.3
December,1965,248
January,1966,342.5
February,1966,223.9
March,1966,240.9
April,1966,392.4
May,1966,167.7
June,1966,392.4
July,1966,372.2
August,1966,195.2
September,1966,376.2
October,1966,200.1
November,1966,279.4
December,1966,382.4
January,1967,218.9
February,1967,184.2
March,1967,220.3
April,1967,258.9
May,1967,229.9
June,1967,279.6
July,1967,263.1
August,1967,609.5
September,1967,158.2
October,1967,183.2
November,1967,375.9
December,1967,311.4
January,1968,140.6
February,1968,122.9
March,1968,151.9
April,1968,357.9
May,1968,432.8
June,1968,370.2
July,1968,150.3
August,1968,258.7
September,1968,207.3
October,1968,328.4
November,1968,281
December,1968,351.6
January,1969,420.3
February,1969,290.5
March,1969,94.8
April,1969,195
May,1969,327.2
June,1969,213.9
July,1969,166.7
August,1969,290.6
September,1969,297.3
October,1969,167.5
November,1969,111.6
December,1969,256.8
January,1970,133.9
February,1970,82.1
March,1970,302.9
April,1970,210.9
May,1970,287
June,1970,486.5
July,1970,398.9
August,1970,491.7
September,1970,569.5
October,1970,324
November,1970,98.5
December,1970,157.7
January,1971,316.3
February,1971,624.3
March,1971,100.7
April,1971,160.7
May,1971,378.3
June,1971,374
July,1971,105.2
August,1971,422.5
September,1971,395.9
October,1971,452.7
November,1971,252.5
December,1971,268.5
January,1972,235.5
February,1972,180.4
March,1972,380.2
April,1972,280
May,1972,347.6
June,1972,219.5
July,1972,298.3
August,1972,299.3
September,1972,233.5
October,1972,207.7
November,1972,167.9
December,1972,146.1
January,1973,255
February,1973,19.2
March,1973,368.9
April,1973,195.9
May,1973,305.6
June,1973,355.9
July,1973,155.5
