PERIOD,YEAR,STATS_VALUE
Annual,1992,697
Annual,1993,816.2
Annual,1994,1078
Annual,1995,914.2
Annual,1996,683.8
Annual,1997,718.6
Annual,1998,729.8
Annual,1999,796.6
Annual,2000,867.4
Annual,2001,589
Annual,2002,787.6
Annual,2003,600.5
Annual,2004,756.2
Annual,2005,569.1
Annual,2006,688.9
Annual,2007,627.2
Annual,2008,692.1
Annual,2009,631.1
Annual,2010,843.6
Annual,2011,621.2
Annual,2012,735.3
Annual,2014,700.8
Annual,2015,717.2
Annual,2016,729.4
Annual,2017,561.4
Annual,2018,742.4
