YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1982,,,,,,,,,,,133,,
1983,131.9,,,,89,,67,,,,,49.6,
1984,,,,47.8,64,50,,,,,,,
1985,,39.2,,,,89.4,,,,,,,
1986,0,,,,,,,,,,,,
1987,,,174.4,42,,,,,,78.4,,,
1988,,,,38.6,,,,,,,,,
1989,41.4,,85.8,,,126,23.6,,,,,,
1990,,,,,,,,,,,20.2,110.2,
1991,,,23.8,103,,,,,,,38,73.4,
1992,41.4,76.6,58,70.4,39,27.6,122,82.2,16.4,67.8,42.6,53,697
1993,82.2,40.6,52.6,30.8,104.8,115.4,35.8,80,41,73.2,32.8,127,816.2
1994,199.2,128.6,66.2,65.4,80.8,68.2,94.4,90.2,48.4,23.6,174.4,38.6,1078
1995,44.6,48.2,139.4,22.2,93.2,30.4,49,70.8,126,95,56,139.4,914.2
1996,60.6,18.6,39.8,112.2,71,84.4,4,45.8,44.4,105.8,44.6,52.6,683.8
1997,16.2,77.6,35.8,130.6,51.8,6.8,79.6,79.8,7.6,31,112.4,89.4,718.6
1998,40.6,66,86,60.2,30.4,65,67.2,61.6,97.2,97.8,11.4,46.4,729.8
1999,28,9.2,75.8,79.4,56,37.2,108.8,33.6,34.6,54.6,244,35.4,796.6
2000,119.4,33.4,39.8,59.2,91,141.6,42.8,36.8,87.6,118.2,27.2,70.4,867.4
2001,50.4,29.6,36,10.6,72,68.6,30,71.4,24.8,35.8,63.2,96.6,589
2002,88.2,44.2,64,34,23.4,126,18.4,67.2,139.8,65.2,38,79.2,787.6
2003,55.6,39.2,16.2,18.6,68.6,95.6,37.4,35.7,82.6,32.4,58.2,60.4,600.5
2004,41,104.8,31.4,15.4,64.2,119,25.6,99,51.2,47.6,49.6,107.4,756.2
2005,68.2,68.4,58.6,36.6,54.2,30.2,31.4,45.4,28.6,35.8,41.1,70.6,569.1
2006,73.4,41,34.2,61,23.4,53.5,34.6,53.2,54.7,81.1,136.8,42,688.9
2007,45.4,12.2,54.4,37,91.4,39.6,34.6,66.2,79,132.2,4.2,31,627.2
2008,66.8,74,38,25.4,44.1,45.4,48.6,45.8,117.2,54,42.4,90.4,692.1
2009,47,36.3,23.6,51.2,146.4,7.2,60.6,112,19.8,43.4,17.2,66.4,631.1
2010,82.8,19,52.2,140,79.4,66.4,40.6,81.8,84.2,56.4,12.6,128.2,843.6
2011,94,71.4,71.8,16.2,52.8,31.8,79.8,34.6,34.2,68.8,56.6,9.2,621.2
2012,78.4,81.3,66.8,26.4,51.4,69,65.4,18.6,102,66.8,65.8,43.4,735.3
2013,96,46.6,27.8,34.4,57.6,108.4,79.8,39.4,68.2,,20,52.8,
2014,68,16.8,57.6,57.8,137,49.6,39,70.6,30.4,62.2,78.4,33.4,700.8
2015,108.6,74,25.8,85,105,98,39.8,35,31.6,59.8,30,24.6,717.2
2016,35.2,65.4,35.4,48.6,155.4,26.6,93.6,7.8,47.2,100,70.4,43.8,729.4
2017,122.6,39.4,26.8,39.4,55.8,44.6,32.8,50.2,74.4,4.8,51.8,18.8,561.4
2018,41.4,108,53.6,102.2,79.8,30.8,85,17.6,82.2,31,90.8,20,742.4
2019,79.4,25.8,61.6,95.8,104.4,31.4,31.6,37.4,28.2,68.6,75.4,,
2020,,,25,56,55.6,,97.4,48.8,115.8,58.2,34.2,45.4,
2021,139,31,21.4,50.8,83.2,66.2,,75.2,79.6,46.2,55.6,75.8,
2022,12,91.6,5.8,52.8,47,114.2,73,131.6,20.4,,108.4,23.6,
2023,13.2,62,,63.2,172.6,51.2,29.6,51.8,134.4,63.4,34.8,60.8,
2024,65.2,40.4,85.6,,31.4,36.2,,53.8,202.2,,57.6,69.8,
2025,26.8,20,,,,,,,,,,,
