PERIOD,YEAR,STATS_VALUE
November,1982,133
January,1983,131.9
May,1983,89
July,1983,67
December,1983,49.6
April,1984,47.8
May,1984,64
June,1984,50
February,1985,39.2
June,1985,89.4
January,1986,0
March,1987,174.4
April,1987,42
October,1987,78.4
April,1988,38.6
January,1989,41.4
March,1989,85.8
June,1989,126
July,1989,23.6
November,1990,20.2
December,1990,110.2
March,1991,23.8
April,1991,103
November,1991,38
December,1991,73.4
January,1992,41.4
February,1992,76.6
March,1992,58
April,1992,70.4
May,1992,39
June,1992,27.6
July,1992,122
August,1992,82.2
September,1992,16.4
October,1992,67.8
November,1992,42.6
December,1992,53
January,1993,82.2
February,1993,40.6
March,1993,52.6
April,1993,30.8
May,1993,104.8
June,1993,115.4
July,1993,35.8
August,1993,80
September,1993,41
October,1993,73.2
November,1993,32.8
December,1993,127
January,1994,199.2
February,1994,128.6
March,1994,66.2
April,1994,65.4
May,1994,80.8
June,1994,68.2
July,1994,94.4
August,1994,90.2
September,1994,48.4
October,1994,23.6
November,1994,174.4
December,1994,38.6
January,1995,44.6
February,1995,48.2
March,1995,139.4
April,1995,22.2
May,1995,93.2
June,1995,30.4
July,1995,49
August,1995,70.8
September,1995,126
October,1995,95
November,1995,56
December,1995,139.4
January,1996,60.6
February,1996,18.6
March,1996,39.8
April,1996,112.2
May,1996,71
June,1996,84.4
July,1996,4
August,1996,45.8
September,1996,44.4
October,1996,105.8
November,1996,44.6
December,1996,52.6
January,1997,16.2
February,1997,77.6
March,1997,35.8
April,1997,130.6
May,1997,51.8
June,1997,6.8
July,1997,79.6
August,1997,79.8
September,1997,7.6
October,1997,31
November,1997,112.4
December,1997,89.4
January,1998,40.6
February,1998,66
March,1998,86
April,1998,60.2
May,1998,30.4
June,1998,65
July,1998,67.2
August,1998,61.6
September,1998,97.2
October,1998,97.8
November,1998,11.4
December,1998,46.4
January,1999,28
February,1999,9.2
March,1999,75.8
April,1999,79.4
May,1999,56
June,1999,37.2
July,1999,108.8
August,1999,33.6
September,1999,34.6
October,1999,54.6
November,1999,244
December,1999,35.4
January,2000,119.4
February,2000,33.4
March,2000,39.8
April,2000,59.2
May,2000,91
June,2000,141.6
July,2000,42.8
August,2000,36.8
September,2000,87.6
October,2000,118.2
November,2000,27.2
December,2000,70.4
January,2001,50.4
February,2001,29.6
March,2001,36
April,2001,10.6
May,2001,72
June,2001,68.6
July,2001,30
August,2001,71.4
September,2001,24.8
October,2001,35.8
November,2001,63.2
December,2001,96.6
January,2002,88.2
February,2002,44.2
March,2002,64
April,2002,34
May,2002,23.4
June,2002,126
July,2002,18.4
August,2002,67.2
September,2002,139.8
October,2002,65.2
November,2002,38
December,2002,79.2
January,2003,55.6
February,2003,39.2
March,2003,16.2
April,2003,18.6
May,2003,68.6
June,2003,95.6
July,2003,37.4
August,2003,35.7
September,2003,82.6
October,2003,32.4
November,2003,58.2
December,2003,60.4
January,2004,41
February,2004,104.8
March,2004,31.4
April,2004,15.4
May,2004,64.2
June,2004,119
July,2004,25.6
August,2004,99
September,2004,51.2
October,2004,47.6
November,2004,49.6
December,2004,107.4
January,2005,68.2
February,2005,68.4
March,2005,58.6
April,2005,36.6
May,2005,54.2
June,2005,30.2
July,2005,31.4
August,2005,45.4
September,2005,28.6
October,2005,35.8
November,2005,41.1
December,2005,70.6
January,2006,73.4
February,2006,41
March,2006,34.2
April,2006,61
May,2006,23.4
June,2006,53.5
July,2006,34.6
August,2006,53.2
September,2006,54.7
October,2006,81.1
November,2006,136.8
December,2006,42
January,2007,45.4
February,2007,12.2
March,2007,54.4
April,2007,37
May,2007,91.4
June,2007,39.6
July,2007,34.6
August,2007,66.2
September,2007,79
October,2007,132.2
November,2007,4.2
December,2007,31
January,2008,66.8
February,2008,74
March,2008,38
April,2008,25.4
May,2008,44.1
June,2008,45.4
July,2008,48.6
August,2008,45.8
September,2008,117.2
October,2008,54
November,2008,42.4
December,2008,90.4
January,2009,47
February,2009,36.3
March,2009,23.6
April,2009,51.2
May,2009,146.4
June,2009,7.2
July,2009,60.6
August,2009,112
September,2009,19.8
October,2009,43.4
November,2009,17.2
December,2009,66.4
January,2010,82.8
February,2010,19
March,2010,52.2
April,2010,140
May,2010,79.4
June,2010,66.4
July,2010,40.6
August,2010,81.8
September,2010,84.2
October,2010,56.4
November,2010,12.6
December,2010,128.2
January,2011,94
February,2011,71.4
March,2011,71.8
April,2011,16.2
May,2011,52.8
June,2011,31.8
July,2011,79.8
August,2011,34.6
September,2011,34.2
October,2011,68.8
November,2011,56.6
December,2011,9.2
January,2012,78.4
February,2012,81.3
March,2012,66.8
April,2012,26.4
May,2012,51.4
June,2012,69
July,2012,65.4
August,2012,18.6
September,2012,102
October,2012,66.8
November,2012,65.8
December,2012,43.4
January,2013,96
February,2013,46.6
March,2013,27.8
April,2013,34.4
May,2013,57.6
June,2013,108.4
July,2013,79.8
August,2013,39.4
September,2013,68.2
November,2013,20
December,2013,52.8
January,2014,68
February,2014,16.8
March,2014,57.6
April,2014,57.8
May,2014,137
June,2014,49.6
July,2014,39
August,2014,70.6
September,2014,30.4
October,2014,62.2
November,2014,78.4
December,2014,33.4
January,2015,108.6
February,2015,74
March,2015,25.8
April,2015,85
May,2015,105
June,2015,98
July,2015,39.8
August,2015,35
September,2015,31.6
October,2015,59.8
November,2015,30
December,2015,24.6
January,2016,35.2
February,2016,65.4
March,2016,35.4
April,2016,48.6
May,2016,155.4
June,2016,26.6
July,2016,93.6
August,2016,7.8
September,2016,47.2
October,2016,100
November,2016,70.4
December,2016,43.8
January,2017,122.6
February,2017,39.4
March,2017,26.8
April,2017,39.4
May,2017,55.8
June,2017,44.6
July,2017,32.8
