time_utc,WS_ms,PR_mmph
2025-01-10 00:00,2.445,0.003
2025-01-10 01:00,2.146,0.001
2025-01-10 02:00,2.676,0
2025-01-10 03:00,3.24,0.001
2025-01-10 04:00,4.075,0.004
2025-01-10 05:00,5.061,0.03
2025-01-10 06:00,5.625,0.03
2025-01-10 07:00,5.987,0.004
2025-01-10 08:00,6.036,0.12
2025-01-10 09:00,5.751,0.14
2025-01-10 10:00,5.574,0.005
2025-01-10 11:00,5.061,0
2025-01-10 12:00,4.916,0
2025-01-10 13:00,4.93,0
2025-01-10 14:00,4.905,0
2025-01-10 15:00,4.63,0
2025-01-10 16:00,4.225,0
2025-01-10 17:00,3.859,0
2025-01-10 18:00,3.663,0
2025-01-10 19:00,3.395,0
2025-01-10 20:00,3.115,0
2025-01-10 21:00,3.059,0
2025-01-10 22:00,2.875,0
2025-01-10 23:00,2.716,0
2025-01-11 00:00,2.131,0.002
2025-01-11 01:00,1.281,0.002
2025-01-11 02:00,0.74,0.01
2025-01-11 03:00,1.342,0.049
2025-01-11 04:00,2.062,0.039
2025-01-11 05:00,2.774,0.031
2025-01-11 06:00,4.214,0.011
2025-01-11 07:00,5.444,0
2025-01-11 08:00,6.153,0
2025-01-11 09:00,6.693,0
2025-01-11 10:00,6.532,0
2025-01-11 11:00,6.364,0
2025-01-11 12:00,5.702,0
2025-01-11 13:00,5.121,0.012
2025-01-11 14:00,5.171,0.035
2025-01-11 15:00,5.76,0.129
2025-01-11 16:00,6.662,0.396
2025-01-11 17:00,6.896,0.08
2025-01-11 18:00,7.07,0.027
2025-01-11 19:00,7.232,0
2025-01-11 20:00,7.11,0
2025-01-11 21:00,6.281,0
2025-01-11 22:00,6.097,0
2025-01-11 23:00,4.968,0
2025-01-12 00:00,4.13,0
2025-01-12 01:00,3.349,0
2025-01-12 02:00,3.022,0
2025-01-12 03:00,3.474,0
2025-01-12 04:00,4.165,0
2025-01-12 05:00,4.629,0
2025-01-12 06:00,4.697,0
2025-01-12 07:00,4.654,0
2025-01-12 08:00,4.702,0
2025-01-12 09:00,5.071,0
2025-01-12 10:00,4.933,0
2025-01-12 11:00,4.427,0
2025-01-12 12:00,3.873,0
2025-01-12 13:00,3.023,0
2025-01-12 14:00,2.131,0
2025-01-12 15:00,1.322,0
2025-01-12 16:00,0.985,0
2025-01-12 17:00,1.161,0
2025-01-12 18:00,1.672,0.016
2025-01-12 19:00,2.413,0
2025-01-12 20:00,2.818,0.002
2025-01-12 21:00,3.008,0.001
2025-01-12 22:00,2.04,0.003
2025-01-12 23:00,2.688,0
